V1,V2,V3
myo,566,54
myo,567,16
myo,575,16
myo,583,24
cep,590,16
myo,591,40
myo,592,47
myo,597,39
cep,605,2
end,627,11
end,647,22
unk,695,19
end,736,14
end,742,16
end,744,44
end,744,102
end,752,18
fib,753,70
end,760,139
fib,761,39
fib,767,127
fib,776,2
fib,779,27
unk,799,143
end,803,202
fib,806,85
end,812,230
end,815,237
end,836,257
nep,846,184
end,846,271
end,863,274
fib,866,46
fib,880,215
fib,887,52
end,887,283
end,894,304
nep,899,89
nep,903,183
cep,908,43
fib,911,174
end,912,320
cep,919,118
cep,920,88
nep,920,147
fib,931,99
fib,935,78
fib,935,311
fib,936,162
cep,940,63
fib,942,127
cep,946,14
cep,949,47
fib,949,179
fib,950,87
end,954,186
fib,959,153
end,959,199
fib,960,22
fib,966,221
fib,968,70
fib,968,168
fib,968,383
fib,974,39
fib,975,147
cep,975,172
fib,983,125
end,983,174
cep,984,151
fib,989,249
fib,992,39
end,992,300
fib,992,414
fib,995,200
fib,997,87
fib,998,72
cep,998,154
end,999,56
fib,1006,392
fib,1007,104
end,1007,271
end,1015,325
fib,1018,130
fib,1019,432
nep,1022,286
fib,1039,283
end,1039,379
nep,1040,92
end,1041,386
end,1047,18
nep,1054,108
fib,1054,423
fib,1055,232
fib,1066,203
fib,1071,446
fib,1080,445
nep,1081,120
fib,1086,191
fib,1086,447
fib,1093,132
end,1094,143
fib,1096,454
fib,1104,447
fib,1105,346
fib,1112,467
nep,1115,120
fib,1132,548
fib,1134,376
nep,1138,143
nep,1143,279
nep,1143,480
end,1144,579
fib,1149,161
nep,1151,55
fib,1151,171
end,1156,175
end,1162,192
mac,1163,100
fib,1164,396
fib,1167,430
unk,1175,50
fib,1177,402
fib,1184,120
fib,1187,308
fib,1190,118
fib,1192,223
fib,1196,71
fib,1198,599
fib,1199,169
fib,1199,454
nep,1199,506
fib,1200,464
unk,1200,607
nep,1203,269
fib,1203,639
fib,1213,543
myo,1220,382
fib,1220,591
end,1220,662
fib,1226,520
end,1231,256
fib,1234,504
fib,1235,284
fib,1236,127
cep,1243,63
fib,1243,562
end,1244,20
fib,1245,610
mac,1247,143
fib,1247,312
end,1247,711
fib,1249,632
fib,1249,647
end,1252,273
cep,1260,223
neu,1261,174
cep,1262,31
lym,1263,161
