V1,V2,V3
lym,2,270
cep,2,342
cep,3,144
end,3,916
cep,4,894
lym,5,264
lym,5,597
fib,6,709
nep,6,850
nep,7,431
cep,8,174
fib,8,702
fib,10,91
cep,12,18
lym,14,295
nep,14,359
neu,18,884
lym,20,278
cep,22,159
nep,22,318
cep,23,580
lym,23,596
cep,26,22
end,26,942
fib,27,116
lym,30,55
cep,31,272
nep,31,310
fib,33,746
cep,36,10
fib,37,511
nep,37,800
fib,40,416
fib,40,884
fib,42,137
cep,43,255
neu,44,543
end,46,494
cep,46,579
cep,46,592
cep,46,854
nep,47,757
lym,48,55
nep,48,351
cep,49,272
myo,49,913
nep,51,790
fib,54,488
fib,54,724
myo,54,910
end,55,527
neu,55,558
cep,55,578
lym,57,223
fib,58,294
fib,59,483
cep,62,859
lym,63,895
mac,69,242
cep,70,80
cep,71,5
nep,71,290
unk,71,1231
fib,72,197
fib,72,203
nep,72,394
lym,72,568
nep,72,875
fib,74,463
unk,75,144
cep,78,253
cep,78,273
fib,78,485
nep,79,288
lym,79,567
nep,79,856
lym,83,578
cep,84,591
neu,85,252
nep,86,289
cep,88,71
mac,88,183
cep,88,563
cep,89,86
cep,90,80
end,94,436
nep,95,381
unk,95,1319
nep,96,2
cep,96,230
end,96,808
end,96,898
fib,100,741
mac,102,238
mac,103,140
cep,103,273
neu,103,572
neu,104,475
cep,105,296
lym,105,530
unk,108,166
fib,110,422
end,110,455
neu,111,555
neu,111,571
neu,111,659
neu,113,630
cep,115,53
mac,115,104
cep,115,399
neu,115,600
fib,116,391
fib,119,382
fib,119,406
lym,119,469
neu,119,485
end,119,803
end,120,882
end,122,378
end,122,789
neu,123,129
unk,123,176
lym,123,519
unk,127,147
cep,127,247
end,127,768
end,127,783
fib,128,879
lym,130,74
cep,131,222
unk,132,199
cep,132,354
cep,133,255
fib,135,311
end,135,719
nep,136,339
end,136,656
end,136,752
mac,138,849
lym,140,391
nep,140,634
neu,142,593
cep,143,90
lym,144,395
neu,148,486
mac,153,526
cep,154,102
lym,154,507
cep,157,252
lym,157,376
end,157,720
fib,158,51
cep,158,118
cep,158,214
fib,159,78
cep,159,140
unk,160,23
fib,162,55
end,162,699
fib,163,267
neu,163,406
fib,166,101
neu,166,364
neu,166,394
unk,167,1079
end,168,560
neu,169,382
neu,170,495
cep,171,347
cep,171,672
cep,172,615
fib,174,302
fib,175,319
cep,175,637
fib,176,297
end,176,656
fib,179,303
neu,180,440
neu,183,383
mac,184,126
cep,184,271
fib,184,573
cep,185,350
fib,186,103
mac,188,19
neu,189,428
fib,190,70
mac,190,591
cep,190,799
fib,191,82
fib,192,48
end,195,218
cep,196,31
unk,196,735
mac,196,820
neu,196,834
unk,198,363
nep,198,744
lym,199,37
end,199,279
cep,199,799
unk,200,791
cep,201,326
lym,203,71
fib,208,56
end,208,295
unk,209,190
neu,210,234
end,210,259
lym,214,38
lym,214,60
cep,215,804
cep,215,882
unk,218,835
cep,219,23
fib,219,75
cep,220,4
fib,223,94
cep,223,863
end,224,107
neu,226,232
fib,227,57
neu,227,243
cep,228,910
cep,231,870
end,232,325
cep,232,798
cep,232,820
mac,233,701
unk,235,545
cep,236,834
nep,238,510
cep,238,921
end,240,535
end,242,21
fib,246,774
nep,247,970
end,251,42
unk,251,630
cep,254,737
fib,255,822
fib,256,693
cep,256,902
cep,260,936
cep,262,752
fib,263,822
cep,263,891
mac,265,306
nep,265,968
cep,266,770
nep,270,682
fib,271,695
cep,271,790
cep,272,838
cep,277,730
fib,279,513
end,281,558
fib,282,695
nep,284,471
nep,287,720
nep,287,952
mac,289,443
fib,289,738
mac,290,276
fib,290,687
unk,291,70
end,291,828
end,293,428
fib,293,755
cep,294,824
fib,295,718
end,302,551
fib,303,783
mac,304,281
end,307,562
fib,307,946
end,308,517
fib,310,886
cep,311,844
end,313,691
end,316,496
fib,316,535
fib,316,936
mac,316,1067
nep,319,392
fib,319,778
fib,319,841
fib,323,805
fib,323,967
unk,324,257
fib,324,755
end,325,343
fib,326,528
cep,326,840
fib,327,519
cep,327,871
fib,329,773
fib,330,724
fib,332,515
cep,332,838
fib,335,496
end,335,571
cep,335,906
cep,342,284
end,343,352
end,343,394
cep,343,863
end,344,623
cep,346,264
cep,346,359
cep,346,449
neu,346,479
mac,347,552
end,349,600
fib,349,809
fib,350,719
cep,351,868
fib,352,951
lym,354,837
end,355,1045
lym,357,327
end,357,411
fib,358,384
fib,359,756
cep,360,487
fib,360,792
cep,361,946
nep,362,463
cep,362,573
lym,362,926
lym,363,894
cep,366,472
end,367,410
end,367,423
fib,367,776
fib,370,535
cep,370,623
fib,371,335
end,372,650
lym,372,851
end,375,395
cep,375,524
cep,376,283
nep,376,1023
end,377,406
fib,377,551
cep,378,493
neu,380,26
cep,381,592
neu,382,12
cep,382,431
unk,382,1035
neu,383,46
lym,383,314
unk,383,1070
lym,384,894
cep,386,564
fib,386,824
fib,387,918
end,388,380
fib,388,942
unk,389,271
fib,389,936
end,390,364
end,390,607
fib,391,766
lym,391,880
neu,392,230
cep,392,448
neu,394,5
unk,395,167
lym,396,975
unk,397,49
fib,398,494
fib,399,798
cep,399,995
unk,399,1119
end,400,198
lym,400,898
end,402,190
fib,403,863
fib,407,349
mac,407,720
fib,407,847
lym,408,234
fib,408,919
lym,408,966
cep,409,442
