V1,V2,V3
end,366,1432
end,370,1468
end,374,1480
fib,386,1378
nep,386,1462
fib,392,1404
fib,392,1433
end,394,1340
nep,400,1479
end,401,1327
end,411,1316
nep,414,1376
end,422,1300
nep,426,1355
nep,426,1622
end,431,1635
end,432,1595
end,436,1663
nep,439,1584
end,443,1576
end,443,1701
end,446,1296
nep,450,1470
end,450,1688
nep,455,1552
fib,457,1323
cep,457,1611
end,460,1541
fib,461,1658
unk,464,1608
end,471,1512
end,472,1746
end,478,1302
end,479,1230
end,479,1268
unk,480,1711
nep,486,1423
nep,486,1480
end,490,1218
cep,495,1262
nep,495,1575
cep,496,1628
end,502,1203
cep,502,1263
fib,503,1519
cep,503,1664
fib,503,1808
end,503,1875
cep,504,1255
fib,504,1815
end,508,1196
fib,508,1748
end,508,1853
fib,510,1223
cep,510,1256
fib,511,1767
fib,511,1835
mac,511,1895
mac,511,1904
nep,512,1615
fib,513,1728
end,519,1191
cep,525,1302
nep,525,1887
fib,526,1585
fib,527,1375
fib,528,1283
fib,528,1368
fib,529,1256
fib,529,1615
fib,531,1737
fib,532,1642
nep,535,1198
nep,535,1684
fib,536,1638
end,539,1163
fib,539,1574
end,543,1214
cep,544,1414
cep,550,1203
end,550,1291
end,551,1923
end,552,1312
fib,552,1623
fib,553,1799
end,560,1226
fib,560,1396
end,560,1939
end,562,1895
fib,564,1608
end,565,1138
cep,566,1156
nep,566,1742
fib,567,1391
unk,568,1728
end,568,1964
fib,569,1400
fib,571,1575
fib,572,1271
fib,576,1157
cep,576,1619
end,577,1649
cep,578,1176
cep,582,1335
fib,583,1199
lym,583,1616
fib,583,1816
cep,584,1176
cep,586,1637
fib,586,1955
fib,587,1389
fib,588,1587
fib,591,1176
nep,591,1511
end,591,1902
fib,591,1978
end,592,1228
cep,594,1770
end,595,1291
cep,595,1605
cep,596,1312
nep,597,1136
cep,599,1151
cep,599,1346
fib,599,1971
end,602,1991
fib,604,1201
cep,606,1671
end,607,1227
nep,607,1491
unk,607,1721
end,609,1876
end,611,1830
nep,612,1109
cep,613,1359
cep,613,1614
cep,615,1156
cep,615,1754
fib,616,1944
neu,619,1407
fib,620,1915
cep,623,1790
end,623,1859
fib,623,1927
fib,623,1934
fib,624,1184
cep,624,1353
end,624,1667
cep,624,1752
nep,624,1814
end,631,1150
nep,633,1123
fib,633,1436
end,634,1887
fib,637,1248
nep,638,1152
unk,638,1834
fib,639,1880
fib,641,1396
fib,643,1417
fib,644,1590
lym,645,1364
fib,646,1184
fib,647,1322
end,647,1614
fib,647,1704
unk,647,1720
fib,648,1567
fib,649,1667
fib,651,1687
end,652,1983
end,654,1879
end,656,1264
end,657,1270
end,662,1310
fib,662,1445
fib,663,1408
fib,664,1369
fib,664,1843
fib,667,1431
fib,668,1128
cep,670,1598
fib,670,1915
lym,671,1353
fib,671,1720
end,675,1303
end,675,1872
cep,678,1693
fib,679,1431
unk,679,1527
cep,679,1687
fib,679,1783
nep,681,1142
end,682,1324
nep,685,1840
nep,686,1276
end,687,1079
end,687,1801
cep,687,1867
end,687,1955
nep,690,1651
end,691,1397
fib,691,1441
end,691,1888
lym,692,1103
end,697,1468
cep,697,1635
end,698,1350
cep,698,1577
fib,699,1423
fib,699,1729
fib,702,1359
cep,702,1558
nep,703,1234
cep,704,1129
neu,707,1620
fib,710,1710
nep,710,1777
fib,711,1084
fib,711,1103
nep,711,1159
nep,711,1285
neu,711,1680
fib,711,1702
cep,712,1544
end,714,1407
end,715,1839
neu,716,1628
fib,717,1255
myo,718,1096
fib,719,1452
end,719,1655
cep,720,1119
mac,721,1796
nep,722,1339
end,722,1382
cep,722,1559
fib,723,1575
end,726,1471
fib,727,1416
fib,727,1500
end,727,1654
cep,727,1758
end,727,1994
cep,729,1727
end,730,1957
fib,736,1842
end,736,1894
fib,738,1244
end,739,1096
unk,739,1215
fib,739,1510
cep,739,1742
cep,739,1871
cep,742,1571
end,743,1670
cep,743,1751
fib,746,1249
fib,746,1543
cep,747,1342
fib,748,1901
end,751,1709
cep,751,1764
cep,752,1352
fib,752,1416
neu,752,1606
fib,752,1814
unk,754,1732
end,758,1654
end,759,1112
fib,759,1170
fib,762,1607
fib,764,1788
fib,766,1474
unk,767,1223
lym,767,1355
cep,767,1831
fib,768,1808
fib,769,1442
fib,771,1337
nep,772,1998
fib,775,1184
end,775,1503
end,776,1118
end,777,1496
neu,779,1631
end,780,1241
end,780,1259
end,780,1510
fib,782,1751
fib,782,1807
nep,783,1304
fib,783,1744
end,786,1656
end,787,1371
lym,788,1382
fib,791,1448
fib,799,1426
unk,799,1568
end,800,1474
neu,800,1647
fib,802,1422
neu,802,1622
end,803,1416
nep,805,1763
fib,807,1458
end,808,1128
fib,811,1530
end,814,1128
mac,815,1598
lym,816,1495
end,816,1685
nep,820,1868
end,822,1418
fib,823,1450
lym,824,1505
neu,824,1650
fib,826,1566
lym,827,1483
fib,830,1435
cep,830,1506
neu,831,1462
fib,832,1618
fib,836,1598
end,837,1527
end,838,1400
cep,843,1647
cep,850,1506
neu,854,1013
