V1,V2,V3
cep,2,586
cep,2,620
end,2,1208
end,2,1214
cep,2,1655
cep,2,1682
cep,2,1741
cep,2,1773
nep,4,505
nep,4,772
neu,4,999
nep,4,1438
fib,4,1533
lym,5,472
unk,5,822
nep,7,1608
fib,8,697
nep,8,1234
cep,10,603
lym,10,906
cep,11,542
cep,12,523
cep,12,1504
cep,13,1908
nep,15,1266
unk,15,1847
cep,16,631
end,16,732
lym,16,980
cep,16,1855
cep,17,1695
cep,20,1772
neu,21,1069
end,22,680
lym,22,966
cep,22,1376
cep,22,1391
lym,23,469
mac,23,661
cep,24,431
mac,24,1747
end,26,818
fib,26,930
fib,26,1872
cep,30,1671
cep,31,1370
cep,31,1935
end,31,1992
nep,34,592
cep,34,1788
mac,35,615
neu,35,1079
nep,35,1356
lym,37,458
fib,38,1548
nep,39,495
nep,39,1351
fib,39,1512
fib,39,1518
cep,40,548
fib,40,644
nep,41,955
unk,41,1766
cep,43,1703
nep,44,1349
cep,46,435
nep,46,498
mac,46,887
lym,47,1710
lym,48,472
fib,48,1806
fib,49,1981
cep,50,1753
unk,51,1228
cep,55,596
unk,55,1191
end,56,839
cep,56,1846
nep,58,426
nep,58,1639
end,59,813
fib,59,1527
cep,60,1827
fib,62,1556
cep,62,1868
lym,63,447
myo,63,993
cep,63,1706
unk,63,1942
cep,64,1776
unk,68,1140
end,69,858
cep,70,420
cep,70,1706
cep,70,1839
end,71,1218
cep,72,559
fib,75,519
end,75,1287
fib,75,1383
cep,76,1368
cep,76,1897
end,77,619
mac,77,1879
fib,78,1420
fib,79,750
nep,79,1348
end,81,1093
fib,82,487
lym,82,540
fib,82,1733
fib,83,823
fib,84,940
nep,87,582
mac,87,1398
cep,88,1582
cep,88,1854
fib,89,972
fib,90,1805
cep,92,1949
cep,93,1900
cep,94,1693
fib,94,1769
cep,94,1839
cep,94,1877
end,95,1144
fib,96,439
end,98,639
end,101,1306
cep,102,1600
cep,102,1729
end,102,1996
nep,103,568
fib,103,1504
cep,103,1613
cep,109,1671
fib,109,1762
cep,109,1882
cep,110,1622
fib,111,968
neu,112,905
nep,112,1280
cep,115,1910
cep,118,1940
fib,120,1801
lym,121,1951
fib,122,972
cep,123,553
lym,123,1969
end,124,600
cep,125,1578
neu,126,946
nep,127,1286
