V1,V2,V3
unk,1672,744
unk,1680,735
unk,1682,727
unk,3303,1719
unk,3311,1725
unk,3318,1730
myo,3447,1887
myo,3453,1879
myo,3455,1896
myo,3456,1903
nep,3462,1887
myo,3462,1913
myo,3463,1894
myo,3470,1912
myo,3470,1921
nep,3471,1887
myo,3472,1896
myo,3472,1904
myo,3478,1911
myo,3479,1887
myo,3481,1902
myo,139,5135
myo,511,5785
myo,545,5776
myo,653,4446
myo,663,4407
myo,663,4431
myo,663,4440
myo,670,4464
myo,672,4440
myo,679,4439
myo,680,4446
myo,686,4438
myo,688,4431
myo,694,4431
myo,2566,4055
myo,2575,4031
myo,2583,4051
myo,2590,4048
myo,2590,4054
cep,2591,4016
myo,2591,4024
myo,2592,4032
myo,2598,4032
cep,2604,4003
myo,2607,4062
nep,2615,4020
end,2627,4011
end,2647,4030
unk,2695,4020
end,2736,4016
end,2742,4016
end,2743,4044
end,2746,4075
end,2746,4104
end,2751,4018
fib,2751,4071
end,2761,4139
fib,2769,4128
fib,2776,4004
unk,2799,4079
fib,2803,4168
end,2803,4200
unk,2807,4085
fib,2808,4023
end,2812,4230
end,2815,4238
nep,2823,4137
fib,2824,4069
end,2831,4230
end,2836,4256
unk,2839,4143
nep,2846,4122
end,2847,4272
end,2863,4275
fib,2867,4044
unk,2871,4004
fib,2871,4151
fib,2879,4143
fib,2879,4213
end,2886,4284
fib,2887,4052
end,2894,4303
nep,2899,4091
cep,2910,4046
end,2913,4321
cep,2916,4016
cep,2919,4118
cep,2921,4088
nep,2921,4147
end,2927,4199
end,2927,4344
cep,2928,4070
fib,2931,4100
fib,2935,4162
fib,2941,4061
fib,2941,4125
nep,2944,4055
cep,2946,4015
fib,2947,4177
fib,2948,4359
cep,2950,4046
fib,2959,4040
fib,2959,4152
cep,2960,4020
end,2960,4198
fib,2967,4168
fib,2967,4222
fib,2968,4071
fib,2970,4382
fib,2974,4040
fib,2975,4147
cep,2975,4172
fib,2975,4214
end,2982,4174
fib,2983,4125
cep,2984,4024
end,2988,4248
fib,2990,4040
cep,2991,4153
fib,2991,4412
end,2994,4304
cep,2998,4087
cep,2998,4154
fib,2999,4074
fib,3001,4059
fib,3006,4270
cep,3008,4106
nep,3011,4023
end,3016,4327
fib,3018,4130
fib,3020,4431
end,3022,4287
nep,3026,4350
nep,3039,4094
end,3040,4379
end,3041,4387
end,3046,4020
nep,3055,4109
fib,3055,4423
nep,3065,4202
fib,3071,4445
end,3079,4507
end,3083,4120
fib,3086,4446
unk,3087,4024
fib,3104,4346
fib,3105,4447
fib,3110,4511
fib,3111,4468
fib,3111,4527
nep,3115,4120
cep,3119,4135
nep,3119,4471
fib,3119,4492
nep,3126,4119
end,3131,4547
cep,3139,4143
nep,3143,4015
nep,3143,4270
nep,3143,4479
end,3146,4578
fib,3148,4159
mac,3161,4102
end,3163,4192
fib,3163,4434
fib,3164,4396
unk,3167,4015
end,3171,4206
fib,3173,4473
nep,3174,4051
fib,3176,4121
fib,3183,4119
fib,3184,4139
fib,3186,4115
fib,3187,4199
fib,3191,4135
end,3192,4002
nep,3192,4070
fib,3192,4223
fib,3196,4283
fib,3199,4169
fib,3199,4191
nep,3199,4506
fib,3200,4235
fib,3200,4466
fib,3202,4268
fib,3204,4639
end,3215,4002
fib,3215,4495
fib,3216,4160
myo,3220,4381
end,3221,4662
nep,3223,4111
fib,3224,4522
fib,3230,4519
mac,3232,4256
fib,3234,4504
fib,3236,4128
fib,3237,4286
unk,3240,4455
end,3242,4030
cep,3243,4062
end,3244,4016
end,3244,4022
fib,3245,4610
nep,3247,4145
fib,3247,4312
fib,3247,4631
fib,3248,4647
end,3252,4274
mac,3255,4106
cep,3260,4223
neu,3261,4175
cep,3262,4031
lym,3262,4160
end,3264,4279
cep,3267,4002
cep,3268,4131
cep,3269,4071
cep,3269,4103
neu,3270,4183
fib,3270,4587
unk,3272,4082
neu,3272,4203
end,3272,4728
lym,3274,4023
cep,3274,4041
end,3281,4680
cep,3286,4227
unk,3286,4559
fib,3287,4318
end,3287,4734
unk,3288,4072
lym,3291,4122
cep,3291,4248
lym,3292,4009
unk,3293,4112
cep,3294,4014
neu,3295,4171
fib,3295,4323
neu,3296,4267
lym,3297,4037
lym,3301,4449
lym,3302,4035
lym,3302,4198
fib,3303,4326
cep,3304,4304
unk,3305,4158
fib,3305,4351
fib,3306,4472
neu,3307,4226
cep,3309,4046
neu,3309,4184
cep,3311,4055
unk,3311,4084
cep,3311,4364
fib,3312,4534
lym,3314,4132
cep,3315,4058
lym,3318,4012
lym,3318,4426
cep,3319,4037
cep,3319,4266
cep,3319,4378
cep,3320,4301
neu,3321,4324
myo,3321,4755
lym,3323,4464
lym,3325,4198
neu,3326,4405
fib,3326,4501
fib,3326,4639
lym,3327,4178
neu,3328,4353
lym,3330,4227
cep,3331,4065
unk,3331,4153
nep,3331,4561
cep,3332,4071
end,3332,4786
cep,3333,4108
fib,3333,4655
fib,3334,4511
fib,3334,4639
lym,3335,4405
cep,3335,4441
lym,3336,4197
mac,3336,4312
cep,3337,4446
cep,3339,4011
fib,3343,4638
end,3344,4790
cep,3346,4265
fib,3346,4568
fib,3346,4590
cep,3347,4063
lym,3347,4356
lym,3348,4382
cep,3351,4248
unk,3352,4035
lym,3353,4111
cep,3354,4095
cep,3357,4339
cep,3358,4086
cep,3358,4438
neu,3358,4554
mac,3359,4183
unk,3360,4210
lym,3364,4370
lym,3364,4392
cep,3364,4442
cep,3366,4094
neu,3366,4503
neu,3367,4537
fib,3367,4735
lym,3368,4130
neu,3368,4554
end,3368,4761
cep,3371,4491
end,3371,4807
fib,3376,4611
cep,3377,4316
fib,3380,4462
lym,3381,4509
neu,3381,4577
cep,3382,4311
fib,3382,4519
cep,3383,4271
unk,3386,4018
cep,3387,4119
cep,3387,4166
cep,3387,4366
neu,3390,4559
cep,3391,4082
cep,3391,4150
neu,3391,4254
neu,3391,4533
cep,3392,4070
cep,3392,4178
cep,3392,4360
cep,3394,4339
neu,3398,4568
fib,3398,4707
cep,3400,4067
lym,3400,4450
fib,3400,4631
cep,3400,4795
lym,3402,4472
lym,3402,4603
cep,3403,4214
lym,3403,4586
fib,3404,4096
fib,3406,4397
fib,3406,4711
cep,3408,4191
cep,3410,4552
cep,3411,4322
mac,3414,4265
cep,3415,4081
nep,3415,4310
end,3415,4814
cep,3416,4520
cep,3416,4615
nep,3417,4300
lym,3418,4597
fib,3419,4041
end,3422,4825
fib,3423,4038
nep,3423,4135
lym,3423,4214
mac,3423,4516
cep,3423,4611
fib,3424,4375
fib,3424,4671
end,3425,4808
lym,3427,4419
neu,3428,4489
fib,3430,4055
cep,3431,4074
nep,3431,4119
neu,3431,4493
mac,3431,4517
fib,3431,4535
cep,3432,4453
fib,3434,4586
fib,3436,4197
neu,3436,4471
cep,3438,4381
lym,3438,4639
fib,3438,4710
nep,3440,4144
fib,3440,4171
lym,3440,4224
fib,3440,4255
lym,3440,4421
fib,3440,4740
end,3441,4018
fib,3446,4390
fib,3446,4558
lym,3446,4644
fib,3446,4739
fib,3446,4804
lym,3447,4420
end,3447,4824
end,3448,4046
cep,3449,4606
lym,3452,4242
lym,3453,4419
end,3455,4044
cep,3455,4602
unk,3456,4119
fib,3456,4447
cep,3457,4400
lym,3460,4213
fib,3460,4581
end,3463,4040
unk,3463,4120
lym,3463,4617
lym,3467,4653
fib,3467,4802
lym,3469,4683
unk,3471,4303
fib,3472,4755
end,3473,4037
lym,3474,4676
lym,3475,4614
fib,3476,4712
fib,3480,4213
fib,3482,4409
fib,3482,4588
fib,3483,4231
lym,3483,4644
