V1,V2,V3
unk,3135,1986
cep,3177,1999
nep,3184,1980
cep,3215,1984
cep,3248,1981
cep,3254,1952
cep,3267,1943
cep,3272,1960
cep,3279,1959
lym,3279,1999
lym,3282,1983
cep,3286,1959
lym,3294,1999
cep,3312,1946
lym,3315,1999
nep,3316,1913
cep,3319,1963
cep,3327,1978
cep,3334,1936
nep,3342,1950
nep,3343,1982
cep,3350,1919
cep,3351,1904
cep,3362,1934
cep,3371,1896
cep,3374,1919
nep,3376,1967
cep,3379,1944
nep,3384,1999
cep,3394,1910
lym,3401,1991
nep,3406,1966
lym,3406,1978
cep,3417,1923
cep,3419,1912
nep,3419,1943
lym,3431,1961
mac,3431,1976
cep,3437,1904
cep,3439,1926
cep,3442,1930
lym,3448,1970
nep,3449,1911
lym,3456,1986
lym,3456,1999
nep,3463,1920
lym,3470,1999
lym,3471,1972
cep,3472,1895
nep,3488,1916
nep,3488,1967
nep,3491,1896
lym,3491,1999
nep,3492,1978
nep,3495,1884
nep,3495,1965
cep,3504,1909
lym,3508,1999
cep,3511,1930
cep,3515,1907
lym,3519,1983
lym,3520,1993
lym,3528,1993
cep,3532,1944
end,3535,1968
nep,3541,1915
lym,3549,1990
lym,3551,1942
cep,3558,1896
lym,3560,1965
cep,3564,1911
lym,3567,1999
lym,3570,1943
nep,3571,1896
lym,3572,1977
cep,3575,1899
nep,3576,1880
nep,3584,1896
cep,3591,1895
lym,3591,1999
cep,3592,1902
cep,3592,1912
lym,3596,1984
nep,3598,1912
end,3598,1965
nep,3605,1999
end,3615,1855
fib,3616,1966
cep,3617,1900
end,3622,1966
nep,3630,1884
cep,3632,1902
mac,3633,1999
nep,3634,1919
cep,3639,1905
mac,3639,1974
lym,3644,1959
cep,3646,1905
lym,3648,1999
lym,3651,1982
cep,3660,1908
cep,3663,1928
nep,3671,1947
lym,3671,1972
lym,3672,1982
nep,3677,1896
nep,3679,1927
nep,3680,1904
nep,3688,1958
nep,3691,1978
nep,3694,1911
nep,3694,1950
nep,3695,1983
cep,3701,1992
nep,3704,1904
nep,3710,1903
nep,3712,1955
nep,3714,1919
nep,3714,1979
nep,3730,1974
lym,3731,1999
nep,3732,1915
cep,3734,1965
lym,3734,1994
lym,3748,1983
cep,3751,1943
nep,3755,1906
cep,3759,1925
cep,3764,1983
nep,3766,1908
cep,3779,1920
fib,3786,1966
nep,3797,1929
fib,3800,1966
lym,3807,1945
fib,3817,1992
fib,3823,1977
nep,3825,1923
fib,3830,1956
fib,3831,1984
cep,3832,1993
cep,3838,1941
nep,3847,1941
lym,3848,1992
nep,3856,1939
nep,3865,1983
nep,3866,1948
nep,3872,1967
lym,4002,4030
nep,4003,4239
lym,4003,4290
nep,4003,4395
cep,4003,4413
nep,4004,4350
mac,4004,5964
neu,4005,4308
neu,4006,4328
neu,4006,4365
unk,4007,5831
lym,4011,4326
cep,4011,4524
mac,4014,4005
cep,4014,4267
mac,4015,4015
myo,4016,4487
fib,4022,4346
cep,4023,4063
cep,4024,4270
mac,4024,4314
nep,4024,4389
nep,4024,4462
nep,4026,4440
mac,4030,4004
mac,4030,4012
cep,4030,4241
nep,4032,4384
nep,4034,4335
cep,4034,5967
mac,4038,4351
myo,4039,4518
nep,4040,4382
cep,4042,4266
lym,4046,4012
nep,4047,4283
nep,4048,4380
nep,4048,4430
myo,4048,4543
lym,4055,4355
cep,4060,4289
myo,4061,4486
cep,4062,4270
nep,4064,4429
nep,4064,4457
nep,4064,4478
lym,4066,4339
nep,4066,4520
cep,4066,4526
end,4068,4194
cep,4069,4083
cep,4071,4054
cep,4071,4088
cep,4071,4099
nep,4071,4288
nep,4071,4383
unk,4071,4615
unk,4071,4871
nep,4072,4327
nep,4076,4304
lym,4076,4322
nep,4076,5984
nep,4077,5924
lym,4078,4289
cep,4078,4351
unk,4078,5623
nep,4079,4377
unk,4079,5407
nep,4080,4432
unk,4080,4919
cep,4081,4534
cep,4082,4474
cep,4083,4017
lym,4084,4456
nep,4086,4220
nep,4086,4271
nep,4086,4432
nep,4086,4510
unk,4087,4607
nep,4087,5968
end,4094,4151
cep,4094,4284
nep,4095,4374
nep,4095,4526
unk,4095,5311
unk,4095,5791
nep,4099,4095
lym,4099,4467
lym,4099,4502
cep,4100,4016
mac,4102,4006
nep,4102,4099
cep,4103,4263
cep,4103,4367
end,4103,5696
nep,4104,4545
cep,4108,4359
mac,4110,4003
nep,4111,4200
fib,4111,4326
lym,4111,4491
lym,4111,4530
nep,4114,4428
cep,4115,4260
cep,4118,4004
cep,4118,5892
cep,4119,4059
nep,4120,4101
lym,4120,4512
cep,4121,4047
nep,4123,4191
neu,4123,4480
nep,4123,5862
lym,4124,4464
nep,4124,5726
lym,4125,4296
unk,4126,5127
nep,4126,5746
nep,4126,5935
nep,4126,5975
cep,4127,4003
cep,4127,4342
lym,4127,4523
nep,4127,5785
nep,4130,5760
nep,4131,5677
nep,4132,4418
lym,4134,4465
cep,4135,4030
neu,4135,4492
end,4135,4751
nep,4135,5836
mac,4136,4526
mac,4137,5659
nep,4137,5795
end,4140,4111
nep,4142,4322
neu,4142,4490
cep,4143,4056
nep,4143,4214
cep,4143,4255
nep,4143,5816
cep,4144,4424
mac,4147,4125
cep,4150,5630
nep,4150,5751
nep,4150,5816
cep,4151,4427
end,4151,4526
nep,4151,5735
cep,4152,4027
cep,4152,4175
nep,4152,4312
lym,4155,4004
neu,4155,4467
nep,4156,5787
neu,4157,4511
cep,4157,5624
nep,4157,5807
neu,4158,4487
nep,4159,4075
unk,4159,5159
nep,4159,5695
nep,4160,4307
cep,4160,4430
lym,4163,4276
cep,4164,4183
cep,4166,5629
nep,4166,5675
nep,4166,5880
nep,4167,4149
nep,4167,4320
nep,4168,4143
cep,4168,4239
neu,4168,4486
end,4168,5105
end,4170,5127
cep,4171,4247
neu,4171,4482
cep,4172,4027
lym,4174,4005
nep,4175,4295
cep,4176,4207
unk,4176,4967
nep,4177,5613
neu,4178,4472
neu,4179,4450
end,4180,5195
cep,4182,4262
nep,4182,4411
end,4182,5047
cep,4183,4295
nep,4183,5232
nep,4185,4099
fib,4186,5118
neu,4187,5101
end,4187,5149
cep,4189,4056
nep,4190,5046
end,4190,5209
lym,4190,5532
cep,4191,5583
end,4192,5182
cep,4197,4415
nep,4198,4003
neu,4198,4468
nep,4198,5702
cep,4199,4166
nep,4199,4182
nep,4199,5063
lym,4199,5534
nep,4199,5722
end,4200,4323
unk,4201,4851
fib,4203,5123
nep,4203,5575
nep,4206,4288
neu,4206,4450
nep,4207,4003
cep,4207,4198
nep,4207,4400
unk,4207,4599
nep,4207,5622
lym,4208,5480
nep,4208,5600
nep,4209,5551
neu,4210,4460
cep,4211,4024
nep,4211,4119
cep,4211,4239
nep,4211,5032
nep,4211,5039
lym,4211,5503
lym,4212,5466
cep,4213,4002
nep,4213,5716
cep,4214,4079
cep,4214,4267
nep,4214,5742
nep,4215,4399
lym,4215,5481
nep,4215,5526
end,4216,5217
nep,4216,5536
nep,4216,5566
nep,4218,4999
nep,4219,4199
lym,4219,4225
nep,4219,5078
nep,4220,4280
neu,4220,4430
nep,4222,4151
nep,4223,5130
nep,4223,5429
cep,4224,5562
cep,4226,4118
nep,4226,4187
cep,4226,4367
lym,4226,5520
nep,4227,5655
nep,4227,5687
cep,4228,4039
nep,4230,4398
myo,4230,5184
unk,4230,5871
lym,4232,4220
nep,4232,5014
myo,4232,5166
lym,4232,5467
lym,4232,5494
cep,4233,4346
lym,4233,5479
nep,4235,4144
mac,4235,5056
nep,4238,4287
nep,4238,5407
end,4239,4235
cep,4239,4348
lym,4239,4421
nep,4239,4961
lym,4239,5035
nep,4239,5369
cep,4239,5607
nep,4240,4295
cep,4240,5635
nep,4240,5651
cep,4241,4178
nep,4242,5390
end,4243,4240
lym,4243,5115
nep,4243,5453
cep,4243,5535
cep,4244,4003
cep,4244,4310
nep,4244,5383
nep,4245,4048
lym,4245,5066
nep,4246,4161
nep,4246,4399
lym,4246,5094
nep,4247,5407
cep,4248,4139
nep,4248,5427
nep,4252,4383
lym,4252,4423
cep,4252,4993
nep,4252,5006
nep,4252,5131
nep,4253,4376
cep,4254,4314
cep,4254,4350
nep,4255,5018
cep,4255,5488
cep,4256,4335
lym,4256,5142
lym,4257,5049
cep,4258,5360
cep,4258,5366
end,4259,4207
nep,4260,4283
nep,4260,4298
nep,4260,5410
lym,4262,4037
neu,4262,4431
nep,4262,4962
lym,4263,4175
cep,4263,4455
lym,4264,4413
cep,4264,5014
cep,4264,5475
nep,4266,5407
nep,4267,5162
cep,4267,5567
lym,4268,4184
end,4269,5294
lym,4270,4264
cep,4270,5560
lym,4271,4040
nep,4271,4911
nep,4271,5120
cep,4272,4076
unk,4272,4751
cep,4273,4998
nep,4273,5104
myo,4274,5230
fib,4274,5552
nep,4275,4463
fib,4275,5242
lym,4276,4021
nep,4278,5468
nep,4279,4938
cep,4279,4988
cep,4279,5047
nep,4279,5064
nep,4279,5543
cep,4280,4447
cep,4280,5079
cep,4281,4155
cep,4282,4887
nep,4282,5160
nep,4282,5528
lym,4284,4406
cep,4284,5132
lym,4284,5407
lym,4284,5438
nep,4284,5450
nep,4285,5152
nep,4285,5168
lym,4286,4267
nep,4286,4972
nep,4286,5175
cep,4287,4123
lym,4287,4369
lym,4287,4427
cep,4287,4949
cep,4287,5192
lym,4287,5416
nep,4288,4168
lym,4288,4246
lym,4288,4347
fib,4288,5307
cep,4290,5507
neu,4291,4312
lym,4291,4358
cep,4291,4479
nep,4291,5226
cep,4292,4935
lym,4295,4229
lym,4295,4295
fib,4295,4424
cep,4295,5051
nep,4295,5372
nep,4295,5479
nep,4296,4004
cep,4296,5023
cep,4296,5407
nep,4298,4031
nep,4299,4055
fib,4299,5320
nep,4301,4112
lym,4301,4389
cep,4302,4182
nep,4302,4428
cep,4302,4879
cep,4302,5472
neu,4303,4344
cep,4303,4901
nep,4303,5220
