V1,V2,V3
unk,2,866
cep,2,885
cep,2,1068
nep,2,1318
nep,2,1530
lym,2,1700
lym,2,1733
cep,2,1744
myo,2,1755
cep,2,1775
nep,3,800
nep,3,1151
fib,3,1378
nep,3,1403
cep,3,1798
cep,4,1791
cep,5,814
nep,6,1963
cep,7,648
lym,7,1611
lym,7,1667
cep,7,1824
cep,8,1584
nep,10,1480
lym,10,1687
nep,12,1571
nep,15,672
nep,15,816
cep,15,1101
cep,15,1591
cep,16,1854
fib,18,1043
nep,19,678
nep,19,1367
nep,20,1559
cep,20,1648
cep,20,1718
nep,22,1351
cep,22,1771
lym,23,1801
nep,24,1131
nep,27,1145
cep,30,1870
fib,31,1517
fib,32,1076
nep,32,1115
nep,36,1583
cep,38,1782
nep,38,1879
nep,38,1904
lym,39,1822
nep,39,1954
nep,39,1983
fib,40,1423
fib,42,1512
lym,43,1806
nep,44,927
nep,45,1415
fib,45,1455
nep,45,1920
unk,46,1003
cep,46,1113
nep,46,1655
cep,46,1750
nep,46,1935
fib,47,1152
myo,47,1843
unk,48,861
nep,48,1399
unk,52,770
nep,53,718
nep,54,1380
fib,55,1124
nep,55,1718
lym,55,1828
fib,56,1079
lym,59,1989
unk,61,802
cep,62,1863
unk,63,655
fib,63,1132
nep,63,1358
cep,64,1890
lym,66,1967
fib,70,1542
nep,70,1799
nep,70,1922
lym,70,1964
lym,70,1987
nep,71,1103
nep,71,1230
fib,71,1495
fib,71,1504
nep,71,1863
unk,72,785
nep,72,1427
nep,74,1744
nep,75,1840
nep,76,1182
nep,77,1880
nep,78,1946
nep,79,1775
lym,79,1976
fib,80,1314
nep,80,1420
cep,80,1912
nep,82,1186
nep,85,1128
nep,86,1950
nep,87,1438
fib,87,1734
nep,87,1856
lym,88,1990
nep,91,1203
nep,92,1559
nep,92,1985
nep,94,1287
nep,94,1823
cep,95,792
nep,95,1360
nep,95,1447
nep,96,1106
nep,96,1136
nep,96,1551
fib,100,1531
nep,101,903
nep,104,1884
nep,106,1248
nep,106,1265
cep,108,831
nep,110,1456
nep,110,1932
nep,111,1280
nep,111,1311
nep,111,1976
nep,112,1164
nep,112,1288
nep,112,1418
nep,112,1831
nep,112,1919
nep,113,1983
lym,115,1191
nep,116,888
nep,116,938
lym,119,1203
nep,122,1332
fib,122,1472
neu,126,1192
nep,126,1342
nep,127,1263
nep,127,1351
nep,127,1360
nep,127,1564
nep,132,1220
nep,133,1899
cep,135,876
neu,135,1178
nep,135,1607
nep,135,1864
cep,135,1999
nep,136,1311
nep,138,1378
cep,142,919
fib,142,1496
nep,142,1839
nep,142,1975
nep,143,1335
nep,143,1928
nep,143,1963
nep,144,1667
nep,148,1351
fib,150,1535
nep,151,1767
nep,152,1425
nep,152,1614
nep,155,1202
fib,158,1462
nep,158,1823
nep,159,1199
fib,159,1559
nep,161,1799
nep,163,1039
nep,163,1375
nep,164,1878
nep,164,1895
nep,166,1408
cep,167,983
nep,167,1461
nep,167,1559
nep,167,1669
nep,168,1192
nep,171,1310
nep,174,1478
nep,174,1543
nep,175,1036
end,175,1359
nep,175,1987
nep,176,1847
nep,176,1921
nep,179,1486
nep,180,1618
cep,182,911
nep,182,1455
nep,182,1503
nep,183,1406
nep,184,1079
nep,184,1192
nep,184,1655
myo,188,1134
nep,189,1949
nep,190,1635
cep,191,1000
nep,191,1219
nep,191,1979
nep,192,1071
nep,192,1479
nep,192,1566
nep,192,1655
nep,192,1735
nep,194,1799
nep,195,1031
nep,199,1427
nep,199,1494
nep,199,1594
nep,200,1188
fib,202,1387
end,203,1517
nep,203,1712
nep,205,1895
nep,206,1751
cep,207,1192
nep,207,1815
nep,208,1848
nep,209,1415
