V1,V2,V3
nep,2,87
nep,2,519
nep,2,538
nep,2,576
mac,2,825
cep,2,1440
cep,2,1588
myo,3,608
end,3,654
myo,3,782
myo,3,791
nep,3,1183
unk,4,1423
myo,5,630
nep,5,1143
unk,5,1561
nep,6,32
nep,6,1200
cep,7,916
cep,7,1485
cep,8,946
cep,13,848
mac,15,816
cep,15,896
cep,15,935
nep,15,1119
nep,15,1160
cep,15,1286
cep,15,1390
nep,16,1167
cep,16,1272
cep,19,932
nep,22,128
nep,23,325
nep,23,1344
cep,23,1614
cep,23,1631
nep,24,368
nep,24,1186
cep,28,1588
nep,29,375
cep,30,832
cep,30,899
cep,30,1219
end,30,1653
nep,31,158
cep,31,883
cep,32,296
nep,34,923
end,36,671
nep,37,455
myo,37,491
cep,37,814
cep,37,1423
cep,38,1199
myo,39,462
nep,39,1366
nep,39,1388
nep,40,779
lym,41,310
lym,42,167
nep,42,1359
nep,43,140
lym,43,326
cep,43,347
cep,43,856
myo,46,495
nep,47,939
nep,47,1135
cep,47,1248
end,48,696
lym,49,180
cep,51,290
nep,51,969
nep,52,774
mac,54,207
nep,54,1384
nep,55,1366
nep,56,447
lym,59,810
cep,60,1568
nep,62,479
cep,62,839
unk,63,192
nep,63,258
cep,63,280
cep,63,338
cep,63,368
cep,63,569
cep,63,1078
nep,63,1286
nep,64,1407
unk,64,1458
nep,64,1680
nep,65,952
nep,67,66
end,67,311
lym,70,238
nep,70,254
lym,70,791
nep,70,1025
cep,70,1552
unk,71,196
lym,71,318
nep,71,448
nep,71,1376
cep,71,1631
cep,72,1566
nep,74,397
cep,75,267
nep,76,47
lym,77,196
mac,78,1103
cep,78,1531
nep,79,143
nep,79,319
cep,79,560
unk,79,1438
unk,80,1463
nep,80,1663
lym,81,1078
cep,82,416
nep,82,916
nep,83,88
cep,83,342
nep,83,1326
nep,84,1357
cep,85,1398
cep,85,1591
cep,86,527
nep,87,109
unk,87,1480
nep,88,222
cep,88,357
nep,88,446
nep,88,455
cep,89,1518
lym,94,164
cep,94,379
cep,94,529
nep,94,1679
cep,95,388
cep,95,582
myo,95,964
lym,95,999
lym,95,1086
cep,95,1151
lym,96,39
nep,96,304
cep,96,402
nep,96,1278
lym,98,10
lym,98,63
nep,98,276
lym,98,1067
cep,98,1550
lym,99,75
lym,99,188
neu,99,772
cep,99,1622
lym,101,42
cep,102,550
lym,102,991
lym,102,1113
lym,103,90
nep,103,919
lym,103,1087
nep,103,1657
neu,104,787
nep,106,318
nep,107,215
cep,107,439
cep,108,519
lym,108,1079
cep,108,1439
cep,109,114
nep,110,343
lym,110,408
lym,111,71
lym,111,155
lym,111,1032
lym,111,1062
nep,111,1271
cep,111,1492
nep,111,1703
lym,112,110
lym,112,570
nep,112,962
nep,113,1714
lym,114,1097
cep,114,1214
cep,114,1476
lym,115,16
cep,115,51
cep,115,831
lym,116,105
nep,116,855
unk,116,1454
lym,117,177
nep,117,258
lym,118,32
cep,118,569
cep,119,440
neu,119,784
lym,119,1023
lym,119,1030
lym,119,1051
neu,119,1126
cep,119,1418
lym,120,755
cep,120,791
lym,120,1001
nep,120,1576
end,120,1742
nep,121,1604
cep,122,87
nep,122,518
cep,123,1519
nep,126,376
nep,126,1559
lym,127,590
neu,127,759
lym,127,790
cep,127,1416
cep,127,1462
cep,128,800
neu,128,1138
nep,129,532
nep,129,664
lym,129,1120
lym,130,568
nep,130,670
nep,131,121
neu,131,765
neu,133,783
cep,134,35
neu,134,731
cep,134,1095
nep,135,251
unk,135,575
lym,135,975
mac,136,192
unk,136,583
nep,136,879
lym,136,1149
nep,136,1370
nep,137,1587
nep,138,886
nep,138,1222
nep,139,315
nep,140,355
cep,140,817
nep,140,1683
fib,141,714
lym,142,5
neu,142,750
cep,142,1047
nep,142,1267
cep,143,638
cep,143,654
neu,143,1131
cep,143,1523
nep,144,376
nep,147,238
nep,147,1548
cep,148,455
cep,149,1470
nep,151,383
nep,151,482
nep,151,550
lym,151,691
cep,151,1125
cep,152,1079
nep,153,135
mac,153,168
lym,153,1003
nep,154,84
neu,154,735
neu,154,767
cep,155,1420
lym,156,57
lym,158,2
fib,158,206
nep,158,415
lym,158,628
myo,158,1731
lym,159,23
lym,159,81
cep,159,584
lym,159,614
cep,159,1496
neu,160,719
cep,160,834
nep,160,1767
nep,162,1586
myo,163,976
mac,164,186
nep,164,1280
nep,165,1639
lym,166,31
nep,166,498
cep,166,1164
cep,166,1447
nep,167,430
lym,167,642
mac,167,671
nep,167,1015
cep,167,1097
cep,167,1215
cep,167,1383
cep,167,1457
lym,168,742
cep,169,871
lym,170,463
unk,170,779
mac,173,710
lym,174,3
lym,174,72
nep,174,511
neu,174,690
cep,174,1214
nep,175,520
lym,175,648
unk,175,744
mac,176,214
mac,177,610
cep,177,1486
lym,178,21
nep,179,248
nep,179,1631
nep,180,168
neu,180,653
neu,181,631
neu,182,761
nep,182,1558
nep,182,1598
cep,183,1183
cep,183,1327
cep,183,1517
nep,183,1746
lym,184,483
nep,184,1615
cep,184,1736
lym,185,50
neu,186,704
nep,187,974
nep,187,1093
lym,189,588
nep,190,488
neu,190,736
nep,190,1527
nep,191,248
neu,191,668
cep,191,871
nep,191,1048
cep,191,1448
nep,191,1563
lym,192,176
nep,192,1383
nep,193,131
lym,194,31
nep,194,159
unk,194,575
nep,194,1408
lym,195,23
neu,195,640
cep,195,1308
neu,197,214
mac,198,233
unk,198,617
mac,198,670
lym,199,71
fib,199,179
unk,199,768
cep,199,1481
nep,199,1599
neu,200,661
lym,200,743
cep,200,912
cep,200,1341
nep,200,1735
nep,201,468
cep,201,516
cep,202,94
lym,203,56
cep,203,1216
nep,203,1363
unk,204,788
lym,205,936
unk,206,639
unk,206,691
lym,206,892
nep,206,1374
cep,206,1671
lym,207,40
cep,207,487
cep,207,1238
nep,207,1423
lym,208,27
neu,208,711
cep,208,1806
nep,209,503
cep,210,153
nep,210,1085
lym,211,213
nep,211,1627
cep,213,1259
nep,214,545
cep,214,588
neu,214,719
unk,214,827
cep,215,562
lym,215,623
nep,216,520
cep,216,872
cep,218,527
lym,218,680
cep,218,1478
cep,218,1718
unk,219,783
lym,219,904
cep,219,1532
myo,220,776
lym,220,943
cep,221,79
nep,222,104
myo,222,1103
cep,223,11
nep,223,71
cep,223,598
cep,223,1307
nep,224,110
cep,224,158
fib,224,231
cep,224,1694
cep,225,505
nep,225,1063
nep,226,1406
cep,226,1506
cep,226,1612
mac,227,935
unk,227,1127
cep,227,1623
lym,228,691
lym,228,1276
nep,229,262
cep,230,208
nep,230,399
nep,230,491
nep,230,1335
cep,231,196
nep,231,241
cep,231,1201
cep,231,1583
cep,232,128
nep,232,733
nep,232,1823
cep,233,1259
neu,234,923
nep,235,207
myo,235,982
cep,235,1726
cep,235,1779
fib,238,310
cep,238,1502
cep,239,144
nep,239,214
fib,239,319
cep,239,951
cep,239,1264
cep,240,1288
mac,241,1103
cep,242,1647
nep,244,1039
lym,245,1271
cep,246,190
cep,246,579
unk,246,693
nep,246,1078
nep,246,1391
nep,247,856
nep,247,1384
cep,247,1662
cep,247,1692
nep,247,1817
nep,247,1831
nep,248,30
neu,248,655
cep,248,1299
cep,248,1443
nep,249,278
nep,251,495
neu,253,653
neu,254,231
cep,254,624
nep,254,835
lym,254,1282
cep,255,163
nep,255,439
cep,255,522
nep,255,927
cep,256,1011
cep,256,1628
cep,257,1692
cep,258,1605
nep,259,519
cep,259,1418
cep,260,1543
cep,262,927
cep,262,1134
cep,262,1574
nep,263,182
fib,263,260
cep,263,1407
cep,263,1511
nep,264,175
neu,264,655
lym,264,684
cep,266,1180
nep,267,663
cep,267,963
unk,267,1088
