V1,V2,V3
unk,1866,16
unk,1871,121
unk,1872,59
end,1872,112
end,1873,87
end,1873,102
end,1875,138
end,1892,2
unk,1896,231
neu,1897,184
neu,1898,75
lym,1903,239
end,1903,266
end,1904,135
neu,1906,87
fib,1906,160
cep,1912,102
unk,1915,122
end,1917,262
lym,1918,40
unk,1918,167
unk,1918,201
unk,1918,251
lym,1919,19
cep,1919,63
end,1920,291
mac,1923,308
unk,1927,224
unk,1927,230
end,1928,325
unk,1929,125
unk,1933,2
unk,1934,37
unk,1934,240
unk,1941,63
unk,1942,239
unk,1943,103
unk,1948,310
end,1949,348
unk,1950,142
unk,1951,24
unk,1951,270
unk,1952,257
unk,1957,2
unk,1957,44
unk,1957,239
unk,1958,175
unk,1959,278
cep,1960,318
unk,1964,208
end,1964,359
unk,1966,176
unk,1967,2
unk,1968,72
unk,1968,94
unk,1971,20
unk,1974,46
unk,1974,231
unk,1975,130
unk,1976,88
unk,1976,278
unk,1978,254
unk,1978,272
unk,1979,187
end,1982,369
neu,1983,167
mac,1983,388
unk,1990,2
unk,1990,109
neu,1990,158
neu,1990,202
unk,1991,73
neu,1991,330
neu,1992,222
unk,1998,309
unk,1999,245
unk,1999,291
