V1,V2,V3
nep,456,1738
cep,460,1705
cep,464,1719
cep,464,1735
nep,465,1688
end,467,1778
end,469,1486
end,470,1479
nep,470,1767
end,471,1467
cep,474,1675
unk,478,1438
nep,483,1552
cep,484,1647
cep,487,1719
cep,488,1639
nep,489,1591
unk,491,1415
cep,495,1807
fib,499,1607
nep,502,1666
cep,503,1826
cep,504,1494
cep,504,1567
nep,510,1728
cep,510,1827
cep,511,1559
nep,511,1910
cep,516,1474
nep,518,1902
end,519,1935
nep,520,1676
cep,520,1775
lym,523,1823
cep,523,1851
cep,527,1855
nep,528,1647
nep,528,1955
cep,530,1447
cep,531,1655
nep,534,1545
cep,535,1474
cep,535,1760
nep,538,1627
cep,538,1796
nep,539,1512
cep,539,1878
fib,539,1914
nep,540,1680
cep,541,1776
unk,543,1355
lym,545,1834
end,549,1390
cep,551,1861
nep,555,1574
nep,557,1658
cep,558,1847
fib,559,1413
nep,559,1692
nep,560,1589
nep,563,1556
cep,563,1791
nep,563,1828
cep,564,1744
cep,567,1407
nep,567,1959
cep,568,1926
cep,571,1711
nep,574,1651
cep,574,1871
nep,575,1384
cep,575,1769
nep,576,1598
cep,578,1692
cep,579,1623
cep,582,1452
nep,582,1586
fib,582,1887
cep,583,1792
cep,587,1435
nep,587,1558
cep,589,1478
mac,590,1337
cep,590,1779
cep,591,1642
cep,591,1854
fib,591,1878
mac,594,1988
cep,596,1655
lym,599,1383
cep,602,1540
cep,604,1450
cep,604,1564
fib,605,1915
cep,607,1696
cep,608,1822
cep,610,1464
nep,610,1597
fib,611,1892
lym,612,1591
fib,612,1968
nep,615,1628
cep,616,1793
nep,618,1647
cep,619,1416
cep,619,1742
nep,622,1527
cep,622,1720
nep,623,1431
nep,624,1615
lym,626,1367
mac,626,1943
end,627,1266
lym,628,1347
cep,628,1703
lym,629,1382
mac,630,1502
cep,630,1766
cep,630,1849
fib,630,1926
lym,631,1584
cep,631,1727
cep,631,1775
end,632,1311
nep,633,1471
fib,634,1930
mac,637,1283
nep,637,1612
mac,639,1307
cep,639,1815
cep,639,1840
cep,640,1424
cep,644,1951
cep,646,1839
mac,647,1287
fib,647,1404
cep,647,1759
mac,648,1271
fib,648,1865
nep,650,1563
nep,651,1912
mac,652,1490
mac,653,1288
cep,653,1434
mac,654,1507
nep,655,1574
fib,656,1384
lym,657,1528
mac,659,1265
cep,659,1653
cep,659,1664
cep,659,1671
nep,660,1608
mac,663,1300
nep,663,1350
lym,663,1446
lym,663,1767
cep,663,1800
end,664,954
cep,664,1103
nep,664,1559
cep,664,1998
lym,666,1440
lym,667,1479
lym,670,1424
cep,670,1680
cep,670,1790
fib,670,1870
nep,671,1382
lym,671,1495
nep,672,1349
lym,672,1766
cep,672,1855
nep,672,1940
fib,673,1902
nep,675,1005
cep,675,1649
cep,675,1832
lym,676,1543
cep,677,1764
lym,678,1511
cep,678,1699
lym,679,1517
cep,679,1783
cep,679,1791
cep,680,1623
nep,683,975
fib,683,1896
nep,684,960
lym,684,1737
nep,686,1366
cep,686,1965
cep,688,1010
cep,688,1600
fib,690,1413
lym,690,1535
end,691,1150
lym,692,1448
cep,692,1554
cep,692,1873
lym,692,1919
nep,694,1037
lym,694,1464
cep,694,1760
nep,695,1426
lym,695,1715
nep,696,1075
mac,696,1478
nep,697,1834
nep,698,1014
nep,698,1344
lym,698,1518
nep,698,1817
cep,700,1384
nep,700,1797
nep,700,1938
cep,702,1372
lym,703,1092
cep,703,1655
lym,703,1699
cep,703,1735
cep,703,1871
cep,705,1975
end,707,898
end,707,911
mac,708,1130
cep,708,1984
mac,711,1059
lym,711,1079
lym,711,1424
mac,711,1463
nep,711,1823
cep,711,1975
cep,712,1593
nep,713,1510
nep,714,1924
lym,716,1687
cep,716,1959
nep,717,1115
lym,718,1437
nep,718,1775
nep,719,831
nep,719,1356
nep,719,1391
nep,719,1492
lym,721,1095
nep,722,1538
lym,726,1622
mac,727,875
lym,728,1450
nep,728,1736
cep,728,1950
nep,730,860
nep,730,1204
nep,730,1756
cep,730,1967
cep,731,1639
nep,734,1816
nep,735,934
neu,735,1435
nep,736,1201
nep,736,1382
fib,736,1907
nep,737,1687
neu,738,1076
cep,738,1619
nep,741,818
lym,741,1560
nep,742,1200
nep,742,1215
lym,742,1446
nep,742,1678
lym,743,1465
fib,743,1484
cep,744,1070
end,744,1278
lym,745,1575
lym,745,1983
nep,747,831
mac,747,1064
nep,748,1354
nep,749,1999
nep,750,1088
lym,750,1552
cep,750,1659
cep,751,984
nep,751,1192
mac,752,721
fib,753,1093
lym,753,1454
cep,754,1166
nep,754,1714
cep,756,1622
nep,757,1001
fib,758,1766
nep,758,1840
nep,759,1007
cep,759,1230
nep,759,1398
fib,759,1478
lym,759,1566
nep,759,1702
nep,759,1822
fib,760,862
mac,760,1043
cep,760,1515
fib,761,1504
nep,761,1999
fib,762,856
cep,762,970
lym,762,1582
mac,763,711
nep,764,804
lym,766,1163
nep,766,1667
lym,767,1235
nep,767,1748
nep,768,1140
cep,768,1436
cep,770,905
cep,770,1811
fib,771,1447
fib,772,828
nep,773,986
nep,774,1319
lym,774,1528
nep,775,886
cep,775,918
fib,775,1055
lym,775,1160
fib,775,1487
lym,776,1539
nep,777,707
lym,778,1222
nep,778,1706
cep,782,846
lym,782,1182
nep,782,1432
lym,782,1573
nep,782,1931
nep,783,704
nep,783,1033
lym,783,1160
lym,783,1199
nep,783,1408
nep,783,1591
nep,783,1606
fib,783,1863
lym,784,1240
cep,784,1905
nep,784,1980
fib,785,867
lym,785,1276
cep,785,1828
nep,787,1332
nep,788,1143
nep,789,807
nep,791,764
nep,791,1124
nep,791,1435
nep,791,1632
cep,791,1904
lym,794,1292
fib,795,823
fib,796,1475
nep,798,704
cep,799,1657
nep,799,1922
nep,800,1106
lym,800,1270
lym,801,1493
lym,802,1255
nep,803,936
lym,803,1159
cep,803,1191
lym,803,1239
lym,803,1310
nep,803,1769
cep,803,1807
nep,804,1362
cep,804,1674
fib,805,1446
cep,806,988
nep,806,1104
lym,806,1135
lym,806,1223
cep,806,1391
nep,807,900
cep,807,920
cep,807,1053
cep,807,1829
cep,808,1207
nep,808,1340
nep,808,1415
cep,811,807
cep,812,1700
nep,812,1919
mac,814,951
nep,814,1205
lym,815,1135
nep,815,1886
nep,816,655
nep,816,1001
cep,817,1057
nep,817,1248
lym,819,788
lym,821,1499
lym,822,1264
nep,822,1695
cep,823,926
lym,823,1887
