V1,V2,V3
unk,519,1064
nep,607,2
nep,626,4
nep,631,31
unk,646,1039
nep,647,21
mac,658,38
lym,662,6
nep,670,53
lym,680,2
cep,686,22
cep,687,2
nep,692,41
cep,699,5
cep,703,23
fib,714,45
unk,720,999
cep,727,5
mac,752,51
cep,756,2
mac,759,49
unk,767,991
nep,768,3
mac,782,47
unk,783,1000
unk,791,952
mac,799,31
neu,799,39
nep,806,16
nep,807,22
unk,807,894
unk,822,904
unk,831,903
nep,832,3
end,844,44
nep,846,19
cep,862,4
nep,875,30
nep,876,79
nep,877,55
nep,878,87
unk,879,928
nep,880,22
nep,887,63
nep,894,118
nep,894,131
nep,894,142
nep,905,175
nep,911,127
unk,911,1015
nep,912,38
nep,912,199
fib,918,35
cep,918,99
end,919,259
nep,923,184
nep,926,75
fib,927,270
lym,928,93
nep,929,11
nep,935,224
nep,936,118
nep,936,142
nep,937,39
nep,941,167
nep,943,94
nep,946,103
cep,949,4
cep,951,232
unk,951,1072
cep,952,239
cep,955,30
cep,958,24
nep,958,57
unk,959,1047
nep,960,157
nep,960,190
nep,963,134
fib,963,328
cep,966,3
nep,966,126
nep,968,95
nep,968,288
end,968,352
nep,971,295
nep,972,53
nep,973,36
nep,975,148
nep,975,309
end,976,367
nep,982,31
cep,982,248
nep,982,401
nep,983,144
unk,983,975
unk,983,1031
nep,984,182
lym,985,79
mac,986,207
nep,987,431
lym,988,98
fib,990,2
unk,991,863
nep,995,34
cep,995,126
nep,996,311
nep,998,164
nep,998,288
cep,1004,70
lym,1007,220
unk,1007,991
nep,1008,311
lym,1010,206
lym,1011,238
nep,1012,395
lym,1014,223
nep,1014,351
nep,1015,52
nep,1015,328
nep,1015,430
unk,1015,1007
lym,1016,206
cep,1019,136
cep,1022,55
cep,1022,93
nep,1023,111
cep,1024,2
nep,1024,479
nep,1026,231
nep,1027,199
cep,1031,62
nep,1031,144
fib,1031,361
nep,1031,463
nep,1033,326
nep,1035,181
nep,1035,246
nep,1035,447
cep,1038,129
nep,1038,320
cep,1039,5
fib,1039,26
cep,1039,72
cep,1039,78
nep,1039,214
nep,1041,275
myo,1043,49
nep,1048,421
nep,1048,479
fib,1050,70
nep,1050,298
nep,1054,236
nep,1057,148
cep,1058,107
nep,1060,3
nep,1060,181
nep,1061,202
nep,1063,411
fib,1064,499
unk,1064,943
lym,1065,36
nep,1065,166
myo,1066,56
cep,1067,119
cep,1067,135
nep,1067,334
nep,1070,258
nep,1070,471
nep,1071,278
nep,1071,440
cep,1072,107
nep,1072,301
nep,1073,216
myo,1076,75
nep,1078,377
cep,1078,471
lym,1079,79
lym,1080,336
nep,1081,294
nep,1083,384
nep,1085,514
lym,1086,335
unk,1086,839
nep,1087,180
unk,1087,639
myo,1088,19
lym,1088,320
nep,1090,235
nep,1090,268
cep,1091,123
myo,1095,23
nep,1095,120
nep,1095,201
nep,1095,383
fib,1095,455
unk,1095,983
lym,1096,64
cep,1096,104
unk,1096,959
lym,1098,51
lym,1098,312
nep,1101,382
lym,1103,311
lym,1105,6
nep,1107,140
nep,1107,167
lym,1107,298
mac,1107,416
nep,1110,16
nep,1110,254
nep,1110,518
cep,1111,94
cep,1111,359
lym,1112,62
cep,1114,47
lym,1114,311
cep,1115,105
lym,1116,288
nep,1116,363
nep,1116,514
nep,1118,480
cep,1122,419
cep,1124,4
nep,1126,204
nep,1126,220
unk,1126,639
lym,1127,11
cep,1127,69
nep,1127,272
cep,1127,350
nep,1129,279
nep,1132,23
nep,1133,431
nep,1135,150
nep,1135,488
nep,1136,391
nep,1137,368
lym,1140,320
nep,1141,262
nep,1143,88
cep,1143,429
nep,1144,148
nep,1144,243
lym,1144,298
cep,1145,67
cep,1147,118
nep,1147,337
nep,1147,391
nep,1149,32
nep,1150,3
nep,1150,22
nep,1150,88
nep,1151,211
nep,1151,242
nep,1157,352
nep,1158,88
nep,1159,151
cep,1159,410
unk,1159,608
unk,1159,943
nep,1160,295
cep,1160,359
nep,1162,218
nep,1165,238
myo,1165,454
nep,1167,2
nep,1170,208
nep,1170,278
nep,1175,140
unk,1175,1015
cep,1176,31
nep,1176,294
nep,1177,96
nep,1177,231
nep,1177,323
cep,1182,391
nep,1183,15
lym,1183,31
nep,1184,440
nep,1184,511
nep,1184,518
nep,1185,266
cep,1186,107
nep,1188,183
nep,1188,415
nep,1191,374
nep,1191,446
cep,1192,37
nep,1192,142
lym,1192,434
nep,1196,223
nep,1196,307
cep,1199,379
lym,1199,418
cep,1200,32
nep,1200,119
nep,1200,215
unk,1200,880
nep,1201,283
nep,1204,346
nep,1205,470
nep,1207,62
nep,1207,125
nep,1208,15
nep,1208,518
nep,1210,433
cep,1212,87
nep,1212,205
nep,1212,535
nep,1215,59
nep,1215,80
nep,1215,104
nep,1215,300
nep,1216,160
nep,1216,459
cep,1220,109
nep,1221,32
nep,1222,173
nep,1222,379
cep,1223,151
nep,1223,284
unk,1223,831
cep,1224,144
nep,1224,387
nep,1227,224
nep,1229,295
nep,1230,94
end,1231,534
nep,1232,24
nep,1232,241
nep,1233,118
nep,1235,431
nep,1235,466
nep,1238,4
cep,1239,135
nep,1240,56
nep,1241,62
nep,1245,487
nep,1247,198
cep,1247,428
myo,1248,207
nep,1248,344
nep,1249,79
fib,1249,303
nep,1249,391
nep,1251,16
nep,1255,254
nep,1256,102
nep,1256,159
fib,1256,278
unk,1256,607
end,1259,518
end,1262,319
nep,1263,10
nep,1263,184
cep,1265,475
nep,1268,345
nep,1268,390
cep,1268,431
nep,1270,46
nep,1270,95
fib,1270,227
nep,1271,88
nep,1271,199
nep,1271,270
nep,1271,359
unk,1271,799
cep,1272,428
nep,1273,158
nep,1274,174
nep,1275,111
nep,1278,47
unk,1278,871
nep,1279,385
nep,1283,486
nep,1284,471
nep,1285,118
cep,1287,301
nep,1287,346
nep,1287,387
nep,1288,20
cep,1289,236
nep,1291,34
unk,1294,751
nep,1296,2
cep,1296,391
fib,1302,534
end,1302,552
nep,1303,53
nep,1304,74
end,1304,528
nep,1306,167
nep,1310,67
unk,1310,567
nep,1312,311
nep,1312,491
unk,1313,590
nep,1314,22
unk,1315,601
nep,1318,63
nep,1318,255
cep,1319,391
cep,1319,438
nep,1320,103
nep,1322,39
nep,1323,233
nep,1326,327
cep,1327,428
unk,1329,726
cep,1330,487
nep,1331,154
cep,1331,383
nep,1333,199
nep,1334,104
nep,1334,264
cep,1334,472
unk,1334,745
nep,1335,271
nep,1335,295
cep,1335,447
nep,1336,179
nep,1338,352
nep,1339,306
unk,1342,702
nep,1343,239
nep,1344,435
nep,1348,54
nep,1351,291
cep,1352,400
nep,1354,323
end,1356,85
nep,1358,134
nep,1358,156
nep,1359,295
unk,1359,813
nep,1360,479
cep,1362,32
nep,1362,375
nep,1362,455
nep,1363,336
cep,1363,439
end,1363,827
cep,1366,431
unk,1367,784
cep,1368,23
nep,1368,191
nep,1374,303
end,1378,124
nep,1382,2
nep,1382,323
cep,1382,451
end,1383,87
unk,1383,751
fib,1384,398
end,1386,92
cep,1386,467
nep,1387,38
nep,1389,279
nep,1390,296
nep,1391,215
nep,1391,254
lym,1392,388
nep,1392,510
cep,1393,59
nep,1394,191
lym,1395,382
cep,1395,434
end,1398,1999
nep,1401,263
nep,1403,272
nep,1403,335
nep,1404,155
cep,1404,455
nep,1407,222
nep,1408,490
cep,1409,459
nep,1412,207
cep,1413,418
nep,1413,488
nep,1414,17
nep,1414,38
nep,1414,315
lym,1416,366
nep,1416,1976
nep,1418,297
cep,1419,423
nep,1419,1999
lym,1422,391
end,1423,102
nep,1429,190
end,1430,82
lym,1430,367
cep,1430,431
nep,1430,472
nep,1431,279
cep,1435,264
nep,1435,302
lym,1435,375
cep,1439,412
cep,1439,420
nep,1439,1969
nep,1440,143
lym,1441,349
nep,1442,167
cep,1442,1992
nep,1443,139
neu,1443,359
nep,1444,1978
lym,1446,295
nep,1446,475
nep,1447,72
cep,1447,484
end,1447,1933
nep,1448,47
nep,1451,204
lym,1453,313
fib,1454,98
nep,1454,126
lym,1455,339
mac,1455,382
cep,1456,30
mac,1456,358
mac,1456,391
cep,1456,420
fib,1458,1978
nep,1463,68
nep,1463,142
nep,1463,244
fib,1464,1955
nep,1465,480
end,1465,485
cep,1466,191
cep,1469,230
mac,1470,356
cep,1470,456
fib,1470,1958
nep,1471,45
neu,1471,395
cep,1472,432
lym,1474,267
cep,1478,174
end,1479,1929
nep,1485,88
nep,1486,112
nep,1486,482
nep,1487,5
cep,1487,234
cep,1487,319
mac,1487,381
cep,1487,1982
nep,1488,350
cep,1491,72
cep,1491,429
end,1494,1926
cep,1495,119
cep,1495,1979
cep,1496,227
lym,1496,398
nep,1498,359
cep,1501,1977
cep,1502,164
cep,1503,64
cep,1503,463
mac,1503,484
cep,1507,209
end,1507,1923
nep,1510,117
lym,1510,399
cep,1510,1966
cep,1511,64
cep,1512,254
cep,1515,247
cep,1515,437
fib,1515,1954
cep,1518,55
nep,1518,94
cep,1520,15
nep,1520,375
myo,1520,486
cep,1524,1992
cep,1525,156
cep,1526,38
cep,1526,238
cep,1527,24
lym,1527,132
nep,1527,267
nep,1528,377
lym,1530,402
cep,1533,1935
nep,1534,379
nep,1535,120
nep,1535,126
cep,1536,318
cep,1536,447
cep,1540,3
end,1540,490
cep,1543,195
lym,1543,405
lym,1543,1952
nep,1547,363
cep,1549,64
nep,1549,241
nep,1550,70
nep,1550,115
cep,1551,46
cep,1551,446
lym,1551,1934
cep,1552,40
nep,1554,493
nep,1555,351
lym,1555,1951
cep,1558,199
cep,1559,3
cep,1559,1928
nep,1560,129
end,1560,1909
lym,1564,44
cep,1566,2
nep,1566,128
cep,1566,237
nep,1566,383
fib,1566,1959
lym,1567,65
nep,1567,323
end,1567,1910
cep,1568,171
nep,1570,116
lym,1574,110
cep,1574,448
lym,1575,19
nep,1575,492
fib,1576,392
nep,1576,486
nep,1579,372
lym,1580,47
cep,1580,183
cep,1582,155
lym,1583,23
unk,1583,145
cep,1583,390
cep,1583,451
end,1583,1912
nep,1584,232
mac,1586,56
nep,1586,365
cep,1586,1984
nep,1590,234
unk,1590,529
lym,1591,35
fib,1591,402
cep,1592,2
cep,1592,128
cep,1592,1983
nep,1593,311
cep,1595,487
cep,1596,186
myo,1596,382
nep,1597,208
mac,1599,92
cep,1599,160
cep,1599,1907
myo,1600,166
fib,1600,1942
cep,1600,1983
unk,1601,432
nep,1604,1888
mac,1605,2
nep,1605,335
mac,1606,87
cep,1606,174
nep,1606,345
unk,1606,519
lym,1607,23
lym,1607,119
myo,1607,383
lym,1607,439
cep,1607,1910
mac,1608,66
lym,1608,415
cep,1608,1917
lym,1609,1903
lym,1610,35
nep,1611,70
lym,1611,130
mac,1611,1998
lym,1612,48
mac,1612,78
cep,1612,481
lym,1613,400
myo,1614,383
cep,1614,1958
cep,1615,176
cep,1615,183
nep,1621,436
lym,1622,115
cep,1622,1959
myo,1624,168
nep,1624,295
cep,1624,1866
nep,1624,1886
cep,1624,1978
lym,1625,136
myo,1625,377
lym,1626,39
nep,1627,345
nep,1627,482
nep,1630,305
nep,1630,447
mac,1631,1848
nep,1631,1888
lym,1631,1975
myo,1632,191
lym,1632,1960
lym,1633,405
lym,1635,21
cep,1638,344
cep,1638,375
nep,1639,1950
cep,1640,1909
nep,1641,127
lym,1642,4
nep,1643,151
nep,1644,67
lym,1644,1877
lym,1646,8
nep,1647,87
nep,1647,100
cep,1647,1839
cep,1647,1847
lym,1647,1921
neu,1647,1987
nep,1648,374
nep,1648,1861
lym,1648,1968
mac,1649,491
nep,1650,327
mac,1650,1823
nep,1653,439
nep,1655,70
lym,1655,392
lym,1656,14
cep,1656,48
cep,1656,286
lym,1656,432
nep,1657,57
nep,1657,1950
nep,1658,1941
nep,1660,463
nep,1662,1999
cep,1663,15
nep,1663,431
cep,1663,1904
nep,1667,160
mac,1667,1814
nep,1668,131
nep,1669,1895
nep,1670,1828
nep,1670,1847
cep,1671,22
nep,1671,335
nep,1671,1839
cep,1671,1911
cep,1672,40
cep,1673,32
nep,1673,79
cep,1674,403
cep,1675,351
nep,1678,1847
cep,1679,1940
nep,1680,303
nep,1681,1807
nep,1681,1831
end,1682,1978
nep,1683,369
mac,1683,499
cep,1684,422
cep,1684,1880
nep,1687,135
cep,1690,7
fib,1690,1963
nep,1694,111
nep,1694,336
nep,1694,359
nep,1695,70
nep,1695,312
lym,1695,393
nep,1695,1826
cep,1695,1919
nep,1696,167
nep,1700,43
nep,1701,95
cep,1702,1879
fib,1703,87
nep,1704,1790
cep,1704,1920
nep,1705,352
cep,1706,264
cep,1706,290
nep,1708,133
cep,1709,460
lym,1710,392
cep,1711,286
lym,1712,375
nep,1714,333
nep,1714,442
cep,1715,1870
nep,1718,247
nep,1718,1822
fib,1718,1912
nep,1719,328
nep,1719,1788
nep,1720,63
nep,1720,107
nep,1721,318
nep,1722,165
fib,1722,1903
cep,1722,1920
fib,1726,1946
lym,1727,279
nep,1727,294
fib,1727,1900
nep,1730,457
cep,1731,16
nep,1731,40
fib,1732,1897
end,1732,1979
nep,1733,139
nep,1733,350
lym,1733,385
nep,1733,1787
lym,1734,278
nep,1734,357
nep,1734,1793
nep,1735,1824
fib,1735,1939
nep,1736,159
nep,1736,408
nep,1736,416
end,1737,1987
lym,1738,388
nep,1739,115
nep,1743,264
fib,1743,1859
nep,1744,434
fib,1744,1935
nep,1747,159
fib,1747,1963
lym,1750,286
nep,1750,326
fib,1750,1916
cep,1751,1859
cep,1751,1888
nep,1752,62
nep,1752,247
cep,1754,456
nep,1755,463
cep,1758,1886
cep,1759,19
nep,1759,420
mac,1760,375
nep,1762,37
nep,1764,90
nep,1764,135
cep,1766,432
nep,1767,113
myo,1767,328
cep,1768,358
cep,1770,1916
cep,1771,1865
nep,1772,1816
cep,1775,102
myo,1775,308
nep,1775,1835
