V1,V2,V3
nep,1215,569
end,1216,590
nep,1219,540
end,1224,604
end,1231,623
lym,1233,575
end,1235,646
fib,1237,516
nep,1238,627
end,1239,594
neu,1241,477
cep,1246,496
fib,1248,617
neu,1249,544
neu,1250,454
mac,1252,571
neu,1258,474
neu,1259,655
mac,1262,518
fib,1263,623
lym,1264,646
neu,1264,675
cep,1265,502
neu,1267,448
neu,1271,545
mac,1273,431
cep,1275,655
neu,1279,466
mac,1279,520
cep,1279,601
cep,1286,652
neu,1287,453
mac,1295,482
mac,1295,538
mac,1295,558
fib,1295,568
mac,1296,411
mac,1297,516
nep,1303,512
neu,1304,456
end,1304,700
end,1306,705
neu,1312,423
end,1312,679
mac,1315,402
lym,1315,587
nep,1316,651
nep,1318,559
nep,1319,552
end,1320,499
nep,1320,567
mac,1323,614
neu,1327,438
neu,1329,409
mac,1330,680
neu,1331,456
neu,1331,475
end,1333,718
fib,1334,643
nep,1342,575
mac,1344,612
nep,1347,539
nep,1349,567
fib,1350,490
neu,1351,467
cep,1351,616
end,1352,729
fib,1354,507
mac,1357,456
neu,1359,639
end,1359,696
fib,1360,255
fib,1362,287
fib,1363,728
neu,1365,656
neu,1367,574
nep,1368,342
fib,1368,407
neu,1368,647
lym,1369,465
neu,1370,472
nep,1370,549
myo,1375,311
lym,1376,649
neu,1378,682
end,1379,197
end,1381,379
end,1384,72
lym,1384,503
mac,1385,563
mac,1385,720
end,1386,99
fib,1386,519
end,1386,751
nep,1388,94
end,1388,182
neu,1388,586
neu,1388,698
end,1389,159
neu,1390,46
fib,1390,263
cep,1391,248
cep,1391,298
lym,1391,503
neu,1392,598
lym,1393,635
neu,1394,590
neu,1394,606
end,1395,12
cep,1396,209
neu,1398,693
cep,1399,60
nep,1400,369
fib,1401,172
neu,1402,568
cep,1403,283
lym,1404,656
neu,1404,742
fib,1405,39
fib,1405,135
fib,1405,544
cep,1406,243
neu,1406,259
cep,1406,310
neu,1407,638
nep,1408,99
fib,1408,127
lym,1408,226
cep,1409,201
cep,1410,342
lym,1410,475
mac,1410,719
neu,1414,280
fib,1415,153
lym,1415,331
nep,1415,368
neu,1415,617
fib,1416,17
fib,1416,386
lym,1416,608
neu,1417,287
fib,1417,411
neu,1417,720
fib,1419,496
fib,1420,511
fib,1422,6
fib,1422,151
cep,1422,248
neu,1423,294
fib,1424,232
fib,1427,194
fib,1429,110
neu,1430,326
nep,1430,776
nep,1431,142
fib,1431,224
cep,1431,354
nep,1431,519
nep,1431,664
fib,1432,216
cep,1432,268
neu,1432,307
lym,1432,320
cep,1432,528
neu,1432,687
fib,1432,758
neu,1433,699
lym,1433,743
cep,1434,419
lym,1435,610
fib,1438,215
nep,1438,510
cep,1438,526
neu,1439,288
nep,1439,504
fib,1439,565
fib,1439,759
fib,1440,248
lym,1440,403
fib,1440,558
lym,1441,725
lym,1446,396
cep,1447,339
lym,1447,739
nep,1448,2
nep,1448,57
nep,1448,62
cep,1448,128
