V1,V2,V3
fib,2,410
cep,2,483
cep,2,774
nep,2,874
cep,2,913
cep,2,974
fib,2,1079
myo,2,1363
cep,2,1399
nep,2,1598
unk,2,1874
cep,2,1926
cep,2,1952
cep,3,464
nep,3,671
cep,3,945
nep,3,1030
cep,3,1422
end,4,168
end,4,207
nep,4,1445
nep,4,1539
cep,4,1622
cep,4,1918
nep,5,1615
nep,6,692
myo,6,807
cep,6,1269
cep,7,651
mac,8,1824
mac,8,1847
cep,11,1332
cep,13,1311
cep,13,1682
nep,14,703
myo,14,829
nep,14,1655
mac,14,1824
lym,14,1999
cep,15,1784
nep,16,999
cep,16,1755
cep,16,1892
cep,19,1314
mac,21,1965
nep,22,750
nep,22,996
cep,22,1359
end,23,479
nep,23,760
nep,23,779
cep,23,968
cep,23,1703
unk,23,1818
nep,26,838
nep,26,863
lym,27,1841
lym,27,1983
nep,29,1633
nep,30,1723
nep,31,896
nep,31,1159
lym,31,1999
nep,32,1401
cep,32,1919
nep,33,1024
end,33,1203
nep,36,455
lym,39,695
nep,39,1600
cep,39,1904
lym,40,779
unk,40,1333
myo,42,1812
cep,43,1298
nep,45,444
nep,46,1364
cep,46,1671
nep,47,422
nep,47,1044
lym,47,1784
nep,49,839
nep,49,1382
lym,49,1997
lym,50,672
nep,50,1944
nep,51,1423
nep,52,1416
cep,53,851
cep,54,640
cep,54,1751
nep,55,886
neu,56,697
nep,56,943
cep,56,975
end,58,203
fib,58,1018
cep,59,1977
nep,60,551
mac,60,727
lym,61,759
neu,62,694
cep,62,1304
lym,62,1355
cep,63,997
cep,63,1616
lym,63,1779
nep,68,808
cep,68,903
lym,69,1328
end,70,207
cep,70,1702
lym,71,760
lym,71,1334
nep,71,1482
cep,71,1854
fib,72,1792
cep,74,1734
nep,75,1547
cep,75,1971
nep,76,914
cep,76,1054
neu,77,736
cep,78,630
nep,78,847
nep,78,879
cep,78,1023
cep,78,1231
cep,78,1298
end,79,211
nep,79,264
nep,79,578
lym,79,1314
cep,79,1895
nep,80,944
cep,81,1784
cep,83,1590
mac,84,710
end,85,1193
end,86,216
fib,86,263
cep,86,560
nep,86,1400
cep,86,1664
cep,87,551
unk,87,640
cep,87,1849
mac,88,677
nep,88,1430
end,90,1152
lym,91,728
lym,91,768
cep,91,1919
nep,92,1117
nep,92,1987
nep,93,298
cep,93,1823
end,94,222
nep,94,583
mac,94,655
fib,95,392
mac,95,701
cep,95,887
nep,95,982
cep,96,1615
cep,98,1513
nep,99,819
cep,100,1764
nep,103,408
nep,103,952
cep,103,1047
myo,103,1322
nep,103,1361
cep,104,1935
unk,105,640
cep,106,1679
cep,106,1719
mac,107,678
nep,107,1445
lym,108,723
cep,108,1896
nep,109,1186
cep,110,859
lym,110,951
nep,111,590
nep,111,919
nep,111,1007
nep,112,1074
cep,113,1488
cep,114,1618
fib,115,623
nep,115,935
cep,115,1211
cep,115,1580
cep,118,1246
cep,118,1280
myo,119,1374
cep,119,1560
cep,119,1760
cep,119,1795
cep,119,1913
cep,121,727
myo,123,648
nep,123,1391
fib,125,1739
nep,126,927
nep,126,1125
myo,127,767
nep,127,1004
cep,127,1262
cep,127,1463
cep,127,1630
cep,127,1647
cep,127,1690
nep,127,1974
lym,128,1728
nep,128,1956
lym,130,1316
lym,130,1711
nep,131,527
cep,131,1086
cep,132,872
nep,134,935
nep,135,610
cep,135,1664
fib,135,1755
end,136,442
cep,136,1551
cep,137,1400
nep,139,588
nep,139,810
cep,139,1247
lym,139,1685
nep,139,1894
cep,140,1150
nep,142,362
cep,142,1374
nep,142,1399
lym,142,1628
lym,142,1655
fib,143,324
fib,143,336
nep,143,1290
nep,143,1979
nep,144,899
cep,144,1174
lym,144,1648
unk,144,1703
cep,146,1487
cep,147,1112
cep,147,1599
lym,147,1711
cep,147,1739
lym,148,964
cep,148,1466
cep,150,1431
cep,150,1847
fib,151,263
lym,151,1335
cep,151,1448
mac,152,978
lym,155,1364
lym,156,1661
cep,158,1039
cep,159,1676
nep,160,934
nep,160,1208
cep,160,1214
mac,160,1719
cep,161,1639
mac,162,1390
cep,162,1592
lym,163,1511
nep,164,784
lym,164,968
cep,164,1775
end,166,247
cep,166,672
cep,166,1574
cep,166,1583
nep,167,518
nep,167,914
nep,167,1318
nep,167,1641
lym,168,1428
cep,168,1841
nep,169,632
lym,169,994
myo,170,727
nep,171,1965
nep,172,1275
nep,173,594
cep,173,1556
cep,175,1247
cep,175,1440
lym,175,1495
lym,175,1511
cep,175,1663
cep,176,1447
cep,176,1539
lym,177,1416
cep,178,1591
cep,178,1678
mac,179,979
nep,179,1056
cep,179,1455
fib,180,375
cep,180,1535
cep,182,1462
lym,182,1495
cep,182,1675
cep,182,1743
cep,183,943
cep,183,1089
cep,183,1159
nep,183,1172
cep,184,1243
nep,186,1901
nep,187,1018
cep,187,1609
cep,187,1627
nep,187,1834
cep,188,1479
fib,190,308
nep,190,663
cep,191,1356
cep,191,1562
cep,191,1703
cep,191,1771
end,192,254
cep,192,438
cep,192,543
cep,192,904
mac,192,983
cep,192,1242
unk,192,1401
cep,194,1383
mac,195,966
cep,195,1434
unk,199,752
nep,199,782
cep,199,1737
cep,199,1936
cep,200,1503
cep,200,1872
nep,202,1009
lym,202,1444
nep,203,631
cep,203,1126
cep,203,1463
cep,203,1541
cep,204,1216
cep,206,888
cep,207,1328
cep,207,1400
lym,207,1419
cep,207,1456
cep,208,1186
cep,208,1566
cep,209,534
cep,209,1830
nep,210,357
nep,210,1279
nep,212,903
nep,212,1519
fib,214,303
cep,214,414
cep,214,424
nep,214,528
fib,215,271
cep,215,408
lym,215,1182
cep,215,1639
nep,215,1909
nep,215,1958
fib,216,954
mac,216,1081
cep,216,1760
lym,219,1440
nep,219,1668
cep,221,1161
neu,222,1055
myo,223,478
nep,223,1019
fib,224,270
lym,224,970
unk,224,1448
nep,224,1487
end,226,1859
nep,228,942
lym,228,1454
cep,230,1726
cep,230,1751
nep,231,991
mac,231,1103
cep,231,1137
cep,231,1686
nep,232,379
myo,232,559
cep,232,1418
nep,232,1494
nep,234,1412
nep,238,616
nep,238,719
nep,238,786
nep,238,966
cep,239,438
cep,239,865
cep,239,1951
cep,241,1377
cep,242,919
nep,242,1006
neu,242,1054
cep,245,448
mac,246,520
cep,246,926
nep,247,267
fib,247,540
cep,247,772
neu,247,1102
nep,247,1414
cep,247,1991
cep,248,1734
cep,249,1159
nep,251,751
neu,251,1072
nep,254,713
cep,254,823
mac,254,1048
nep,254,1972
nep,255,1515
cep,255,1716
cep,255,1877
lym,258,1135
cep,258,1562
lym,259,1116
nep,259,1646
cep,260,1311
cep,262,427
mac,262,515
cep,262,1546
cep,263,839
cep,263,1959
cep,264,406
cep,264,1743
cep,264,1772
cep,265,1212
cep,266,1387
nep,267,954
nep,269,747
nep,270,1472
nep,270,1959
cep,271,1016
cep,272,1575
cep,273,1945
nep,274,723
cep,274,1449
cep,275,415
nep,275,528
end,275,675
nep,275,911
cep,275,1035
lym,275,1062
cep,275,1520
lym,277,1107
nep,278,1287
cep,279,872
nep,279,1974
end,280,256
neu,281,1083
lym,281,1103
nep,282,507
nep,282,765
cep,283,1592
nep,284,1471
lym,284,1997
myo,285,706
cep,286,1783
nep,288,1510
nep,288,1794
cep,290,838
nep,291,380
nep,291,1248
end,293,246
neu,294,1095
nep,294,1274
cep,294,1422
nep,295,742
lym,295,1066
cep,295,1868
cep,296,1374
cep,297,1446
cep,297,1489
nep,298,809
lym,298,1998
nep,299,532
cep,300,1817
nep,301,1524
nep,302,943
nep,303,727
lym,303,1108
lym,304,1081
nep,305,912
cep,306,1134
nep,308,401
cep,308,487
myo,309,694
cep,309,1152
cep,309,1930
cep,310,602
cep,310,1183
myo,311,549
cep,311,1414
cep,311,1903
cep,312,438
cep,312,1351
cep,312,1763
nep,315,855
cep,315,1403
nep,315,1955
fib,316,1977
nep,317,831
cep,318,1870
nep,319,561
nep,319,744
lym,319,1443
cep,319,1831
nep,320,775
nep,320,1054
cep,320,1535
cep,320,1700
lym,320,1820
lym,322,1074
nep,323,474
nep,326,577
cep,326,1127
nep,326,1192
