V1,V2,V3
lym,2,30
nep,3,239
lym,3,290
nep,3,395
cep,3,413
nep,4,350
mac,4,1964
neu,5,308
neu,6,328
neu,6,365
unk,7,1831
lym,11,326
cep,11,524
mac,14,5
cep,14,267
mac,15,15
myo,16,487
fib,22,346
cep,23,63
cep,24,270
mac,24,314
nep,24,389
nep,24,462
nep,26,440
mac,30,4
mac,30,12
cep,30,241
nep,32,384
nep,34,335
cep,34,1967
mac,38,351
myo,39,518
nep,40,382
cep,42,266
lym,46,12
nep,47,283
nep,48,380
nep,48,430
myo,48,543
lym,55,355
cep,60,289
myo,61,486
cep,62,270
nep,64,429
nep,64,457
nep,64,478
lym,66,339
nep,66,520
cep,66,526
end,68,194
cep,69,83
cep,71,54
cep,71,88
cep,71,99
nep,71,288
nep,71,383
unk,71,615
unk,71,871
nep,72,327
nep,76,304
lym,76,322
nep,76,1984
nep,77,1924
lym,78,289
cep,78,351
unk,78,1623
nep,79,377
unk,79,1407
nep,80,432
unk,80,919
cep,81,534
cep,82,474
cep,83,17
lym,84,456
nep,86,220
nep,86,271
nep,86,432
nep,86,510
unk,87,607
nep,87,1968
end,94,151
cep,94,284
nep,95,374
nep,95,526
unk,95,1311
unk,95,1791
nep,99,95
lym,99,467
lym,99,502
cep,100,16
mac,102,6
nep,102,99
cep,103,263
cep,103,367
end,103,1696
nep,104,545
cep,108,359
mac,110,3
nep,111,200
fib,111,326
lym,111,491
lym,111,530
nep,114,428
cep,115,260
cep,118,4
cep,118,1892
cep,119,59
nep,120,101
lym,120,512
cep,121,47
nep,123,191
neu,123,480
nep,123,1862
lym,124,464
nep,124,1726
lym,125,296
unk,126,1127
nep,126,1746
nep,126,1935
nep,126,1975
cep,127,3
cep,127,342
lym,127,523
nep,127,1785
nep,130,1760
nep,131,1677
nep,132,418
lym,134,465
cep,135,30
neu,135,492
end,135,751
nep,135,1836
mac,136,526
mac,137,1659
nep,137,1795
end,140,111
nep,142,322
neu,142,490
cep,143,56
nep,143,214
cep,143,255
nep,143,1816
cep,144,424
mac,147,125
cep,150,1630
nep,150,1751
nep,150,1816
cep,151,427
end,151,526
nep,151,1735
cep,152,27
cep,152,175
nep,152,312
lym,155,4
neu,155,467
nep,156,1787
neu,157,511
cep,157,1624
nep,157,1807
neu,158,487
nep,159,75
unk,159,1159
nep,159,1695
nep,160,307
cep,160,430
lym,163,276
cep,164,183
cep,166,1629
nep,166,1675
nep,166,1880
nep,167,149
nep,167,320
nep,168,143
cep,168,239
neu,168,486
end,168,1105
end,170,1127
cep,171,247
neu,171,482
cep,172,27
lym,174,5
nep,175,295
cep,176,207
unk,176,967
nep,177,1613
neu,178,472
neu,179,450
end,180,1195
cep,182,262
nep,182,411
end,182,1047
cep,183,295
nep,183,1232
nep,185,99
fib,186,1118
neu,187,1101
end,187,1149
cep,189,56
nep,190,1046
end,190,1209
lym,190,1532
cep,191,1583
end,192,1182
cep,197,415
nep,198,3
neu,198,468
nep,198,1702
cep,199,166
nep,199,182
nep,199,1063
lym,199,1534
nep,199,1722
end,200,323
unk,201,851
fib,203,1123
nep,203,1575
nep,206,288
neu,206,450
nep,207,3
cep,207,198
nep,207,400
unk,207,599
nep,207,1622
lym,208,1480
nep,208,1600
nep,209,1551
neu,210,460
cep,211,24
nep,211,119
cep,211,239
nep,211,1032
nep,211,1039
lym,211,1503
lym,212,1466
cep,213,2
nep,213,1716
cep,214,79
cep,214,267
nep,214,1742
nep,215,399
lym,215,1481
nep,215,1526
end,216,1217
nep,216,1536
nep,216,1566
nep,218,999
nep,219,199
lym,219,225
nep,219,1078
nep,220,280
neu,220,430
nep,222,151
nep,223,1130
nep,223,1429
cep,224,1562
cep,226,118
nep,226,187
cep,226,367
lym,226,1520
nep,227,1655
nep,227,1687
cep,228,39
nep,230,398
myo,230,1184
unk,230,1871
lym,232,220
nep,232,1014
myo,232,1166
lym,232,1467
lym,232,1494
cep,233,346
lym,233,1479
nep,235,144
mac,235,1056
nep,238,287
nep,238,1407
end,239,235
cep,239,348
lym,239,421
nep,239,961
lym,239,1035
nep,239,1369
cep,239,1607
nep,240,295
cep,240,1635
nep,240,1651
cep,241,178
nep,242,1390
end,243,240
lym,243,1115
nep,243,1453
cep,243,1535
cep,244,3
cep,244,310
nep,244,1383
nep,245,48
lym,245,1066
nep,246,161
nep,246,399
lym,246,1094
nep,247,1407
cep,248,139
nep,248,1427
nep,252,383
lym,252,423
cep,252,993
nep,252,1006
nep,252,1131
nep,253,376
cep,254,314
cep,254,350
nep,255,1018
cep,255,1488
cep,256,335
lym,256,1142
lym,257,1049
cep,258,1360
cep,258,1366
end,259,207
nep,260,283
nep,260,298
nep,260,1410
lym,262,37
neu,262,431
nep,262,962
lym,263,175
cep,263,455
lym,264,413
cep,264,1014
cep,264,1475
nep,266,1407
nep,267,1162
cep,267,1567
lym,268,184
end,269,1294
lym,270,264
cep,270,1560
lym,271,40
nep,271,911
nep,271,1120
cep,272,76
unk,272,751
cep,273,998
nep,273,1104
myo,274,1230
fib,274,1552
nep,275,463
fib,275,1242
lym,276,21
nep,278,1468
nep,279,938
cep,279,988
cep,279,1047
nep,279,1064
nep,279,1543
cep,280,447
cep,280,1079
cep,281,155
cep,282,887
nep,282,1160
nep,282,1528
lym,284,406
cep,284,1132
lym,284,1407
lym,284,1438
nep,284,1450
nep,285,1152
nep,285,1168
lym,286,267
nep,286,972
nep,286,1175
cep,287,123
lym,287,369
lym,287,427
cep,287,949
cep,287,1192
lym,287,1416
nep,288,168
lym,288,246
lym,288,347
fib,288,1307
cep,290,1507
neu,291,312
lym,291,358
cep,291,479
nep,291,1226
cep,292,935
lym,295,229
lym,295,295
fib,295,424
cep,295,1051
nep,295,1372
nep,295,1479
nep,296,4
cep,296,1023
cep,296,1407
nep,298,31
nep,299,55
fib,299,1320
nep,301,112
lym,301,389
cep,302,182
nep,302,428
cep,302,879
cep,302,1472
neu,303,344
cep,303,901
nep,303,1220
lym,304,246
nep,304,1000
nep,304,1257
cep,305,1200
lym,307,298
unk,308,266
nep,309,1078
nep,309,1284
neu,310,317
lym,310,398
nep,310,1455
nep,311,132
cep,311,150
lym,311,373
nep,311,823
nep,311,897
nep,312,1086
lym,313,331
cep,314,979
neu,315,359
nep,315,860
cep,316,171
lym,317,222
cep,318,8
nep,318,108
cep,319,427
cep,319,445
nep,319,864
cep,319,1048
cep,319,1227
lym,320,293
lym,323,395
nep,323,884
nep,323,1240
cep,326,1020
nep,326,1048
nep,327,815
cep,327,951
nep,328,25
nep,330,45
cep,330,275
cep,330,1004
cep,330,1023
cep,331,232
cep,331,1188
cep,333,223
cep,334,424
cep,334,943
fib,334,1303
neu,335,307
lym,336,351
nep,337,1098
nep,337,1247
unk,337,1355
nep,338,444
neu,340,320
mac,340,390
nep,341,836
nep,342,775
nep,342,854
cep,342,1238
nep,343,251
end,343,1343
nep,344,8
nep,344,208
lym,344,287
lym,344,407
cep,344,423
nep,346,907
cep,346,978
cep,347,479
unk,347,533
neu,350,307
fib,350,1270
lym,351,362
nep,351,507
end,352,536
nep,352,928
cep,352,1220
end,352,1320
lym,353,286
nep,353,1183
cep,355,47
nep,355,744
nep,355,1203
nep,357,812
nep,358,734
cep,358,993
nep,359,30
cep,359,224
lym,359,374
nep,359,853
lym,360,286
fib,360,539
lym,360,847
nep,362,1175
nep,363,895
end,365,1287
nep,366,3
nep,366,71
nep,366,256
cep,366,503
nep,366,838
nep,366,912
lym,366,969
fib,366,1240
lym,367,926
nep,367,1155
unk,367,1423
unk,368,1491
lym,369,399
nep,369,1103
cep,371,525
lym,371,808
lym,371,831
lym,372,422
lym,373,361
cep,374,239
cep,374,462
nep,375,956
fib,375,1216
nep,376,551
nep,376,903
nep,379,555
nep,379,680
cep,380,779
nep,381,643
neu,382,371
lym,382,392
nep,382,1126
cep,383,15
fib,383,293
nep,383,724
nep,383,888
fib,383,1239
nep,384,320
mac,384,407
nep,384,934
lym,384,947
nep,384,1100
lym,386,350
lym,386,790
neu,387,343
nep,387,1043
nep,387,1114
nep,388,250
neu,388,335
nep,390,839
nep,391,167
nep,391,320
nep,391,479
nep,391,1080
nep,392,264
mac,392,447
nep,392,975
nep,392,1000
fib,394,866
fib,394,1204
nep,395,821
fib,395,1174
end,399,291
cep,400,2
lym,400,355
lym,400,769
nep,400,803
fib,400,1148
cep,402,774
cep,403,527
neu,406,385
cep,406,511
nep,406,710
lym,406,759
nep,406,1047
nep,406,1062
neu,407,352
