V1,V2,V3
lym,2,48
neu,2,228
mac,2,251
lym,3,55
neu,3,264
mac,7,144
lym,9,76
neu,13,127
lym,15,97
neu,15,119
mac,17,141
cep,17,212
unk,19,47
neu,19,111
lym,24,95
cep,25,156
lym,34,55
lym,34,63
fib,36,194
cep,39,2
unk,40,46
lym,44,104
fib,44,219
cep,46,4
cep,47,142
fib,52,67
fib,55,84
lym,55,118
fib,58,184
fib,60,146
fib,63,164
lym,71,104
neu,73,28
lym,74,79
lym,75,63
neu,76,48
fib,76,124
end,77,179
neu,82,8
lym,86,105
fib,94,102
neu,95,30
lym,95,76
neu,96,23
neu,102,38
fib,102,144
neu,103,3
lym,104,60
lym,107,83
neu,111,8
lym,112,62
neu,113,38
fib,113,118
fib,114,111
fib,114,141
lym,118,63
fib,118,101
end,122,152
neu,123,18
fib,134,67
lym,135,95
fib,139,44
end,142,119
neu,143,5
fib,144,31
end,144,95
end,151,87
neu,156,12
end,156,85
unk,160,43
end,172,53
end,177,69
lym,182,2
neu,183,44
mac,190,27
mac,192,7
mac,198,10
