V1,V2,V3
neu,2,272
neu,2,638
neu,2,670
neu,2,761
neu,2,835
neu,2,866
neu,2,888
mac,2,1096
mac,2,1102
mac,2,1202
neu,2,1738
neu,3,175
neu,3,200
neu,3,326
cep,3,352
neu,3,426
neu,3,527
lym,3,939
mac,3,1011
neu,3,1357
cep,3,1488
neu,4,286
cep,5,29
neu,5,151
neu,5,310
neu,5,499
lym,5,1175
lym,5,1440
mac,5,1534
cep,6,95
cep,6,1040
cep,6,1511
neu,7,207
neu,7,819
neu,7,896
neu,7,1312
nep,8,607
neu,8,1374
neu,9,128
mac,9,1263
mac,9,1405
neu,10,319
cep,11,113
fib,11,698
neu,12,55
fib,13,1622
lym,14,1167
neu,14,1324
neu,14,1370
fib,14,1568
cep,15,6
nep,15,607
neu,15,987
cep,15,1032
cep,15,1060
neu,15,1199
mac,16,239
neu,16,844
neu,18,1739
lym,19,571
neu,19,748
mac,19,963
neu,20,50
mac,20,1084
end,20,1545
neu,21,711
neu,22,459
neu,22,550
neu,22,859
mac,22,991
neu,22,1348
end,22,1590
neu,23,497
mac,23,951
mac,23,1039
mac,23,1207
fib,23,1224
neu,24,818
mac,24,1023
lym,25,784
fib,26,2
neu,26,842
neu,27,306
neu,27,475
unk,27,1277
mac,27,1425
neu,28,127
neu,28,178
mac,28,911
neu,29,154
mac,30,1176
neu,31,327
lym,31,612
unk,31,695
neu,31,758
mac,31,1628
neu,32,39
mac,32,1007
fib,32,1226
nep,32,1448
end,32,1733
neu,33,269
neu,33,725
cep,33,1512
fib,34,296
lym,34,775
mac,34,931
end,34,1709
mac,35,88
neu,35,215
end,35,656
mac,35,1268
neu,35,1319
neu,35,1358
neu,35,1377
lym,36,534
unk,36,663
mac,36,1291
mac,37,1654
neu,38,243
nep,38,1039
end,38,1732
neu,39,47
neu,39,62
neu,39,163
neu,39,503
neu,39,680
myo,39,1595
mac,39,1632
mac,40,1081
nep,40,1423
neu,41,871
fib,41,1464
fib,41,1583
fib,42,2
end,42,1283
neu,42,1341
neu,43,316
neu,43,433
neu,43,836
lym,46,609
lym,46,791
neu,47,131
neu,47,687
neu,47,699
neu,47,1184
neu,47,1309
mac,48,23
neu,48,711
neu,48,1354
lym,50,1198
neu,51,215
lym,51,486
neu,51,747
neu,52,732
neu,52,1377
lym,52,1552
nep,53,410
mac,53,458
neu,54,72
neu,54,79
neu,54,146
neu,54,1167
neu,55,101
nep,55,358
lym,55,591
mac,55,1352
nep,55,1423
lym,56,554
neu,56,719
neu,56,852
mac,56,1054
end,56,1243
mac,56,1632
mac,56,1727
mac,57,1077
myo,58,1111
neu,59,438
neu,59,1732
neu,60,180
mac,61,1353
neu,62,295
lym,62,599
neu,62,855
lym,63,349
lym,63,378
lym,63,796
end,63,1267
cep,63,1427
cep,63,1552
mac,63,1630
neu,64,29
fib,64,1462
cep,64,1504
neu,65,43
fib,65,269
neu,65,863
lym,65,1184
neu,66,656
neu,67,428
lym,67,500
neu,67,510
neu,67,691
neu,68,127
neu,68,830
mac,68,1646
neu,69,1747
neu,70,40
neu,70,61
fib,70,1404
neu,71,31
neu,71,112
unk,71,532
neu,71,736
neu,71,879
neu,71,1195
unk,71,1254
neu,72,230
neu,72,430
neu,72,753
lym,72,771
mac,73,1640
neu,74,7
neu,74,224
lym,74,676
cep,74,1119
neu,75,203
neu,75,435
lym,75,455
mac,75,1053
neu,75,1334
nep,75,1562
mac,77,1360
neu,77,1386
neu,78,447
lym,78,1558
neu,79,807
end,79,894
end,79,1095
mac,80,135
neu,80,587
neu,80,1190
lym,80,1292
neu,81,1068
neu,81,1263
neu,82,106
neu,82,836
end,82,902
lym,83,491
neu,83,1318
unk,85,528
neu,86,184
neu,86,308
fib,86,475
neu,86,638
neu,86,671
neu,86,1307
fib,86,1384
fib,87,518
neu,87,694
neu,87,767
neu,87,775
neu,87,809
fib,87,868
mac,87,1616
neu,88,760
neu,88,792
end,88,951
mac,88,1653
fib,91,15
fib,91,884
neu,91,1254
lym,91,1436
neu,92,34
neu,92,1336
unk,93,735
mac,94,1016
neu,94,1230
lym,94,1560
neu,95,655
neu,95,1218
lym,95,1503
unk,95,1723
unk,96,152
neu,96,206
neu,96,222
neu,96,454
mac,96,936
neu,96,1300
mac,96,1651
neu,97,435
neu,98,719
nep,99,1482
neu,99,1755
cep,101,61
unk,101,834
unk,101,1605
neu,102,95
fib,102,538
end,102,628
neu,102,693
neu,102,750
neu,102,981
neu,102,1352
neu,103,795
neu,103,1298
neu,103,1381
mac,103,1520
lym,103,1543
neu,104,574
lym,104,911
lym,104,1527
neu,105,131
neu,105,1259
neu,106,816
fib,108,344
neu,108,851
lym,108,1055
lym,108,1193
fib,109,496
fib,110,3
neu,110,755
neu,111,116
neu,111,272
neu,111,676
neu,111,1214
lym,112,250
fib,112,600
end,112,1684
neu,113,175
end,113,1146
cep,114,24
neu,115,702
neu,115,741
neu,115,1350
lym,115,1587
lym,116,1469
neu,117,298
myo,117,1010
neu,117,1279
neu,117,1319
lym,117,1435
cep,117,1626
unk,117,1758
mac,118,940
end,118,1095
neu,118,1227
lym,118,1456
neu,119,176
cep,119,359
neu,119,442
fib,119,460
neu,119,815
fib,119,862
nep,119,896
mac,119,1031
lym,119,1039
end,119,1116
neu,119,1304
neu,120,226
fib,120,482
neu,120,659
neu,121,982
neu,121,1247
lym,121,1761
neu,122,207
neu,122,291
nep,122,1134
neu,123,1666
neu,124,799
cep,124,1415
fib,125,482
end,125,542
neu,125,1372
lym,125,1536
neu,127,106
neu,127,132
neu,127,743
neu,127,789
end,127,1180
neu,127,1197
lym,127,1488
lym,127,1494
cep,128,408
cep,128,1404
unk,128,1706
neu,129,1240
lym,129,1517
mac,130,1290
neu,131,144
lym,131,436
fib,131,630
neu,131,771
lym,131,1544
unk,132,417
cep,132,1625
lym,133,891
mac,133,1294
neu,134,1342
lym,134,1432
cep,135,25
neu,135,212
fib,135,483
fib,135,587
mac,135,1652
neu,136,247
neu,136,319
mac,136,967
neu,136,1744
neu,137,94
neu,137,737
neu,138,102
neu,138,225
neu,138,296
end,138,528
neu,138,807
neu,138,814
end,138,1113
lym,138,1559
neu,140,157
neu,140,192
fib,140,847
cep,141,83
fib,142,586
neu,142,708
neu,143,118
neu,143,140
neu,143,280
fib,143,498
lym,143,615
lym,143,1146
lym,143,1166
neu,143,1326
neu,143,1758
lym,144,1103
neu,144,1260
lym,145,1518
fib,147,572
neu,147,761
lym,147,944
neu,148,420
neu,148,442
neu,150,340
fib,150,367
fib,150,464
neu,150,664
neu,150,720
neu,150,1103
lym,150,1151
neu,150,1235
lym,150,1327
lym,150,1387
fib,151,824
neu,151,1307
end,151,1651
cep,152,31
neu,152,671
neu,152,768
neu,153,1342
neu,153,1621
neu,154,317
fib,154,532
lym,154,924
cep,155,976
neu,155,1283
end,155,1724
neu,156,152
neu,156,202
lym,157,643
lym,157,801
nep,157,957
lym,157,1403
neu,157,1592
neu,158,311
lym,158,788
mac,158,894
neu,158,1111
neu,158,1159
mac,159,232
neu,159,286
neu,159,304
neu,159,403
fib,159,553
neu,159,666
neu,159,711
unk,159,1153
neu,159,1232
neu,160,120
unk,160,497
neu,160,740
lym,160,861
lym,161,1559
mac,161,1666
lym,162,600
mac,162,898
neu,163,271
neu,163,453
neu,164,815
mac,164,992
mac,164,1022
cep,165,1427
neu,166,388
neu,166,667
lym,166,1392
neu,167,71
fib,167,362
lym,167,639
neu,167,1223
lym,167,1322
lym,167,1646
lym,170,1400
neu,171,116
neu,171,1609
neu,172,207
neu,174,87
mac,174,1080
mac,175,5
neu,175,704
mac,175,1191
end,175,1735
neu,176,27
neu,176,67
neu,176,1035
mac,176,1051
neu,176,1243
lym,176,1259
lym,176,1643
end,176,1743
neu,177,186
neu,177,213
lym,178,233
neu,178,1223
lym,178,1590
neu,179,54
neu,179,103
neu,179,320
lym,179,858
lym,179,1122
cep,179,1144
neu,180,781
mac,180,999
mac,181,1159
lym,182,408
neu,182,688
neu,182,740
end,182,1720
neu,183,277
unk,183,453
neu,183,694
cep,183,1150
neu,183,1375
unk,183,1624
lym,184,423
fib,184,528
fib,184,551
lym,184,601
neu,184,820
end,184,991
lym,185,1409
lym,185,1560
lym,186,582
neu,189,296
neu,190,423
fib,190,624
lym,190,1270
cep,190,1489
mac,190,1646
fib,191,366
unk,191,490
neu,191,807
lym,191,839
mac,191,1202
lym,191,1324
neu,192,70
neu,192,190
neu,192,314
nep,192,865
lym,193,654
lym,195,594
mac,197,1094
neu,198,384
unk,198,504
neu,198,735
mac,198,1221
neu,199,68
neu,199,85
fib,199,435
lym,199,1571
mac,199,1663
lym,200,40
neu,200,287
neu,200,806
neu,201,931
fib,202,570
mac,203,31
lym,203,783
mac,203,954
lym,203,1241
