V1,V2,V3
unk,7,583
unk,53,644
unk,79,633
fib,98,626
end,116,612
mac,147,609
fib,154,596
unk,167,294
mac,172,584
cep,195,578
neu,199,606
neu,206,597
fib,207,577
neu,221,609
cep,223,554
neu,232,584
neu,233,591
neu,238,613
unk,248,548
neu,260,568
neu,277,540
unk,279,271
neu,286,567
neu,287,573
fib,295,526
mac,298,595
fib,306,519
neu,311,559
myo,339,497
mac,339,580
fib,358,575
unk,359,47
neu,361,492
fib,368,526
unk,372,483
unk,376,580
end,383,511
neu,392,494
unk,396,466
fib,400,533
fib,407,494
fib,424,482
neu,427,538
unk,435,456
mac,435,514
unk,439,391
unk,443,440
unk,462,424
unk,464,535
unk,466,439
nep,473,540
unk,474,453
unk,475,580
nep,482,516
neu,484,603
nep,500,559
unk,502,423
nep,502,590
cep,507,472
nep,511,513
fib,515,455
myo,518,412
nep,527,510
fib,539,400
neu,541,562
nep,542,502
unk,542,612
neu,544,555
cep,550,495
unk,552,463
nep,552,614
mac,556,621
unk,564,571
unk,564,595
neu,574,402
neu,575,572
neu,576,521
neu,577,498
neu,582,427
neu,583,603
mac,592,533
unk,592,603
unk,596,463
unk,596,573
neu,597,486
unk,598,378
unk,599,611
neu,608,630
neu,620,640
neu,620,660
nep,623,440
fib,627,382
end,630,397
end,637,478
mac,637,663
mac,638,472
nep,639,532
unk,639,598
cep,640,375
mac,641,486
end,642,449
neu,644,611
unk,648,354
end,655,452
neu,656,599
neu,660,589
neu,661,620
neu,662,382
mac,663,494
neu,666,445
neu,667,623
mac,671,671
neu,678,363
neu,679,610
neu,680,400
mac,681,487
end,683,562
neu,683,667
neu,684,698
unk,690,363
neu,690,646
end,691,526
unk,695,342
unk,697,334
neu,697,456
end,702,570
neu,703,455
nep,703,611
mac,704,399
mac,704,495
unk,707,343
neu,708,453
mac,708,512
end,709,534
unk,711,365
neu,712,712
neu,712,719
mac,714,492
neu,714,694
neu,718,656
unk,723,327
mac,724,539
end,724,582
neu,728,654
mac,732,519
unk,736,623
neu,736,712
neu,742,324
neu,742,652
unk,743,442
mac,743,561
mac,743,604
neu,747,538
neu,748,692
neu,749,721
unk,751,86
mac,751,496
neu,751,714
neu,752,302
neu,752,341
mac,754,623
neu,756,360
neu,757,668
mac,758,550
neu,760,320
neu,764,721
neu,766,513
neu,766,679
neu,767,537
neu,768,498
neu,768,686
neu,769,637
end,770,467
neu,774,607
neu,774,733
neu,778,344
neu,779,712
neu,782,321
neu,782,615
neu,783,732
end,789,758
cep,791,286
neu,791,295
mac,791,523
neu,792,624
neu,795,359
neu,796,345
nep,797,519
neu,799,312
neu,799,330
unk,800,696
neu,802,379
neu,802,517
neu,806,760
neu,807,723
unk,808,286
unk,815,280
neu,824,383
neu,825,756
neu,826,514
neu,826,740
unk,832,264
end,832,332
neu,835,435
neu,838,543
neu,840,746
neu,843,380
neu,845,513
end,846,475
neu,846,518
unk,849,260
mac,849,335
end,850,656
unk,855,71
neu,856,286
cep,857,326
unk,860,270
neu,860,518
unk,860,713
neu,863,407
neu,863,526
end,866,344
unk,872,254
fib,873,273
lym,875,415
unk,876,240
end,876,611
end,876,634
lym,880,430
nep,883,695
unk,887,151
end,887,727
neu,888,255
neu,888,409
lym,889,431
unk,894,773
end,896,608
neu,900,267
end,902,606
neu,903,550
mac,904,412
fib,905,652
neu,907,441
mac,911,705
neu,914,562
mac,915,244
unk,916,744
end,918,667
mac,918,710
fib,920,287
neu,920,767
mac,923,421
mac,925,354
fib,933,278
unk,935,159
cep,940,219
lym,942,691
unk,943,247
fib,943,323
mac,945,766
end,948,363
lym,950,263
mac,952,230
fib,952,311
neu,960,255
end,960,384
neu,966,736
lym,967,291
nep,967,359
neu,967,714
fib,968,340
neu,972,752
neu,974,232
fib,974,249
neu,977,279
lym,982,358
neu,986,286
nep,987,363
neu,988,730
neu,989,756
cep,991,232
lym,991,358
end,991,843
unk,992,200
mac,992,663
neu,992,768
neu,998,206
neu,998,277
end,998,352
neu,999,332
cep,1001,227
unk,1003,524
mac,1003,673
cep,1007,191
lym,1007,335
mac,1013,844
mac,1015,270
mac,1017,887
cep,1018,187
neu,1018,315
neu,1020,761
end,1023,349
mac,1023,880
cep,1025,207
neu,1027,715
fib,1030,238
neu,1033,313
end,1036,768
fib,1039,335
end,1039,590
unk,1040,174
neu,1040,876
mac,1042,292
neu,1043,607
neu,1044,559
neu,1044,722
nep,1046,202
neu,1046,841
fib,1048,245
neu,1048,551
neu,1049,529
neu,1052,817
lym,1053,889
lym,1054,634
unk,1055,173
neu,1055,607
unk,1055,768
neu,1055,850
mac,1056,284
neu,1056,591
end,1059,335
unk,1063,919
fib,1064,308
neu,1064,864
end,1065,604
neu,1066,838
unk,1068,722
cep,1069,268
nep,1071,327
fib,1078,310
fib,1086,163
cep,1086,235
neu,1086,950
lym,1087,270
unk,1088,768
neu,1089,774
neu,1091,854
mac,1091,904
neu,1094,680
neu,1094,931
fib,1096,295
neu,1096,707
end,1100,150
mac,1104,232
neu,1106,728
neu,1106,956
neu,1107,912
neu,1110,771
end,1112,455
mac,1114,214
neu,1118,795
mac,1120,196
neu,1121,738
unk,1122,857
end,1123,981
mac,1126,190
mac,1126,238
fib,1127,145
cep,1128,911
nep,1129,407
mac,1130,187
end,1131,291
neu,1133,761
neu,1133,870
lym,1134,499
neu,1134,776
unk,1135,439
neu,1138,949
mac,1143,225
neu,1143,849
mac,1146,207
unk,1147,402
neu,1151,772
unk,1151,850
neu,1153,888
mac,1154,189
neu,1156,1028
unk,1157,430
neu,1158,1038
neu,1159,1010
unk,1160,792
fib,1167,127
neu,1168,976
unk,1170,908
neu,1171,1053
mac,1173,497
lym,1175,158
neu,1176,991
neu,1176,1039
mac,1180,201
neu,1180,934
neu,1181,1040
lym,1182,176
neu,1182,849
neu,1182,1078
unk,1183,711
neu,1183,923
end,1184,510
neu,1187,877
neu,1187,959
neu,1188,823
neu,1188,1026
neu,1189,974
fib,1190,119
lym,1192,150
neu,1192,1031
end,1193,225
neu,1193,926
neu,1195,851
lym,1196,163
neu,1196,1035
neu,1198,993
neu,1199,665
mac,1199,684
neu,1199,999
neu,1200,1063
neu,1201,902
neu,1202,542
neu,1203,520
myo,1204,192
fib,1207,136
neu,1207,1092
fib,1208,107
neu,1210,1004
neu,1211,1063
neu,1212,872
neu,1213,464
mac,1214,103
lym,1214,159
neu,1214,986
neu,1215,845
neu,1215,1014
mac,1216,598
neu,1216,832
neu,1218,1018
mac,1219,207
neu,1219,467
neu,1221,506
neu,1221,535
mac,1222,100
neu,1223,557
neu,1223,571
end,1223,938
mac,1224,180
end,1224,728
lym,1225,705
end,1226,747
lym,1227,123
mac,1227,1192
lym,1228,610
neu,1229,533
neu,1230,584
lym,1231,146
neu,1231,455
neu,1231,471
neu,1231,492
neu,1231,823
mac,1232,1131
lym,1233,624
neu,1233,832
neu,1234,775
neu,1238,1032
neu,1239,431
neu,1239,507
lym,1241,616
neu,1243,475
neu,1243,1000
mac,1246,112
lym,1247,720
neu,1247,1284
unk,1248,1076
neu,1249,727
end,1249,1178
mac,1250,150
neu,1250,544
neu,1251,130
neu,1253,447
neu,1254,496
neu,1254,1047
myo,1254,1255
neu,1255,428
neu,1255,754
end,1255,1176
neu,1256,582
neu,1256,1032
neu,1257,606
end,1257,787
neu,1257,983
nep,1258,97
neu,1260,124
neu,1262,1058
neu,1262,1174
neu,1263,406
neu,1263,494
neu,1263,1168
neu,1264,1290
neu,1265,471
neu,1265,1081
neu,1265,1151
neu,1267,498
neu,1268,1306
end,1269,144
neu,1270,997
neu,1272,424
neu,1275,942
cep,1275,1086
end,1276,1201
mac,1278,135
neu,1278,565
neu,1278,923
neu,1279,440
neu,1279,1136
neu,1279,1184
mac,1280,793
neu,1280,1281
neu,1280,1293
end,1281,282
neu,1282,548
neu,1282,1050
myo,1283,113
neu,1283,1194
end,1284,322
nep,1284,359
neu,1284,408
neu,1285,521
unk,1285,1106
end,1286,254
neu,1286,414
neu,1286,987
end,1286,1360
end,1288,235
neu,1288,620
neu,1288,744
neu,1290,1294
neu,1291,462
end,1291,659
neu,1291,690
neu,1291,718
neu,1292,1178
neu,1293,1032
neu,1294,1355
neu,1295,302
neu,1295,392
neu,1295,518
end,1295,632
neu,1295,712
neu,1295,1374
end,1296,1135
neu,1296,1158
neu,1297,420
end,1298,764
cep,1299,306
unk,1299,1320
neu,1301,600
neu,1302,998
neu,1302,1307
end,1302,1390
unk,1303,360
neu,1303,491
neu,1303,506
fib,1303,640
neu,1303,655
neu,1303,804
neu,1303,1015
neu,1303,1375
end,1304,272
neu,1304,452
neu,1304,468
neu,1304,543
neu,1304,732
end,1304,878
neu,1305,550
neu,1305,667
neu,1305,935
end,1305,1399
neu,1306,753
mac,1307,88
neu,1310,253
neu,1310,734
mac,1310,1082
neu,1310,1120
unk,1310,1183
neu,1311,787
neu,1312,606
neu,1312,1367
neu,1313,429
neu,1316,736
end,1316,861
neu,1318,240
neu,1318,600
neu,1318,754
unk,1319,1159
neu,1320,295
neu,1320,493
neu,1320,706
end,1320,935
neu,1320,1152
lym,1322,532
neu,1322,771
neu,1322,1026
lym,1322,1423
neu,1323,1259
neu,1323,1443
end,1324,407
neu,1324,569
neu,1324,800
neu,1325,1412
neu,1326,324
neu,1326,805
neu,1326,1245
neu,1327,224
neu,1327,678
mac,1327,865
unk,1327,1307
neu,1328,1147
neu,1328,1183
neu,1330,581
neu,1330,1046
neu,1330,1120
neu,1331,256
neu,1331,348
neu,1331,823
neu,1331,1218
neu,1332,1287
fib,1334,446
mac,1334,944
neu,1334,1085
neu,1335,344
neu,1335,1000
neu,1335,1105
neu,1336,690
neu,1338,723
neu,1338,1235
neu,1340,238
neu,1340,767
neu,1341,503
neu,1341,604
neu,1342,1314
unk,1342,1356
neu,1343,211
neu,1343,335
cep,1343,399
fib,1343,456
neu,1343,751
neu,1343,1272
lym,1343,1420
neu,1343,1437
mac,1344,885
unk,1344,1160
lym,1344,1383
neu,1345,557
unk,1346,1470
neu,1347,871
lym,1348,1399
neu,1349,575
fib,1349,1156
fib,1350,417
neu,1350,642
mac,1350,934
neu,1351,1119
neu,1352,250
mac,1352,911
neu,1352,1327
neu,1353,607
neu,1354,815
mac,1354,855
neu,1355,223
neu,1355,1036
lym,1355,1068
neu,1355,1113
neu,1355,1311
neu,1356,490
mac,1357,666
end,1357,683
neu,1358,721
unk,1358,1362
neu,1359,199
neu,1359,330
lym,1359,1432
neu,1360,300
neu,1360,318
neu,1361,556
neu,1361,1315
unk,1362,367
neu,1362,403
mac,1363,894
neu,1363,1258
neu,1364,247
lym,1366,1416
neu,1367,559
neu,1368,198
neu,1368,615
neu,1368,1331
lym,1368,1423
end,1368,1475
end,1369,1211
neu,1370,576
neu,1370,582
fib,1370,1359
neu,1371,590
end,1371,1497
neu,1373,222
neu,1374,614
neu,1374,637
cep,1374,748
fib,1374,1296
neu,1375,1097
end,1375,1126
lym,1375,1178
neu,1376,420
mac,1376,832
neu,1376,848
end,1376,1024
neu,1376,1328
neu,1377,163
neu,1377,610
neu,1377,801
neu,1378,395
neu,1378,930
mac,1379,935
neu,1379,1311
fib,1379,1371
neu,1380,319
neu,1381,191
end,1381,857
neu,1382,398
neu,1382,566
cep,1382,694
neu,1383,258
neu,1383,414
neu,1383,689
lym,1384,1086
neu,1384,1271
nep,1385,48
neu,1385,343
neu,1385,570
mac,1385,958
neu,1386,350
neu,1386,406
unk,1387,447
unk,1387,1456
neu,1388,377
end,1388,902
neu,1390,215
neu,1390,400
neu,1391,206
lym,1391,1055
end,1391,1125
lym,1391,1190
neu,1391,1280
neu,1392,167
neu,1392,592
mac,1392,978
unk,1392,1224
neu,1393,617
lym,1394,1182
neu,1397,463
neu,1397,705
neu,1397,845
neu,1398,288
neu,1398,441
myo,1398,750
end,1398,1037
neu,1398,1350
neu,1399,134
neu,1399,175
neu,1399,559
neu,1399,597
neu,1399,647
fib,1399,1080
neu,1399,1286
cep,1399,1512
end,1400,881
end,1400,1056
lym,1400,1204
neu,1400,1297
neu,1401,1256
end,1402,78
neu,1402,814
neu,1403,390
neu,1403,1419
lym,1404,108
neu,1404,344
neu,1404,359
neu,1404,1240
lym,1407,96
neu,1407,124
neu,1407,283
fib,1407,1083
lym,1407,1187
neu,1407,1207
unk,1407,1459
neu,1408,150
neu,1408,684
end,1408,1134
mac,1410,847
end,1410,903
neu,1411,578
unk,1411,1176
unk,1412,1483
neu,1413,656
neu,1414,423
neu,1414,440
neu,1414,700
unk,1414,765
neu,1414,1222
neu,1414,1360
unk,1414,1410
end,1415,1082
neu,1415,1377
neu,1415,1515
neu,1416,125
end,1416,1530
neu,1417,866
mac,1418,814
end,1418,920
neu,1419,184
neu,1419,376
neu,1419,622
neu,1420,611
lym,1420,822
neu,1422,124
neu,1422,357
fib,1422,482
end,1422,1087
mac,1422,1128
lym,1423,166
neu,1423,568
neu,1423,594
neu,1423,679
neu,1423,720
end,1423,942
end,1423,1078
neu,1423,1154
neu,1423,1352
lym,1423,1376
end,1424,887
neu,1425,143
neu,1425,535
neu,1425,1276
end,1426,1399
neu,1427,656
end,1427,961
neu,1429,1302
end,1430,46
neu,1430,175
neu,1430,336
neu,1430,1177
unk,1430,1479
lym,1431,71
neu,1431,983
neu,1431,1233
neu,1433,555
fib,1433,731
neu,1433,853
unk,1434,494
neu,1434,881
neu,1435,609
fib,1435,795
end,1435,1002
end,1435,1083
unk,1435,1257
unk,1435,1423
neu,1437,419
end,1437,1377
neu,1438,279
end,1438,1018
neu,1438,1147
neu,1438,1319
lym,1439,118
neu,1439,158
neu,1439,917
end,1439,1102
neu,1439,1339
neu,1439,1358
unk,1439,1414
fib,1439,1458
unk,1440,241
lym,1440,311
neu,1440,480
mac,1440,836
neu,1440,1510
neu,1441,693
neu,1441,1132
lym,1441,1182
unk,1442,257
neu,1442,1499
mac,1443,807
end,1443,1023
neu,1444,526
neu,1444,559
end,1444,755
neu,1444,977
end,1444,1536
neu,1446,595
neu,1446,903
neu,1446,1281
lym,1446,1514
cep,1447,58
neu,1447,156
neu,1447,348
neu,1447,496
end,1447,1031
end,1447,1039
end,1447,1045
unk,1447,1391
neu,1448,138
cep,1448,395
neu,1448,424
neu,1448,579
neu,1448,1239
unk,1448,1404
fib,1448,1448
cep,1449,455
neu,1450,543
neu,1450,657
neu,1450,679
mac,1450,719
neu,1453,103
neu,1453,959
neu,1454,291
neu,1454,311
fib,1454,904
end,1454,1031
neu,1455,516
neu,1455,575
neu,1455,932
lym,1455,1554
lym,1456,74
neu,1456,831
lym,1456,1173
neu,1456,1208
neu,1456,1265
cep,1457,41
unk,1457,1000
neu,1457,1330
neu,1458,323
neu,1458,1228
mac,1459,433
end,1459,1106
unk,1460,1419
end,1461,1354
end,1462,751
fib,1463,438
neu,1463,562
neu,1463,610
lym,1463,1263
fib,1463,1394
unk,1463,1463
neu,1464,855
end,1464,1144
lym,1465,163
neu,1467,96
lym,1467,142
neu,1467,479
neu,1467,672
lym,1467,1370
neu,1468,1297
unk,1468,1528
end,1469,886
neu,1470,496
neu,1470,814
end,1470,1150
unk,1471,26
mac,1471,712
lym,1471,778
neu,1471,822
neu,1471,1259
fib,1471,1491
lym,1472,48
neu,1472,364
mac,1472,734
neu,1472,839
neu,1473,615
neu,1475,543
fib,1475,1016
end,1475,1058
fib,1475,1313
fib,1475,1403
lym,1476,978
neu,1477,565
neu,1478,784
end,1478,902
neu,1478,1287
lym,1478,1551
cep,1479,232
lym,1479,312
neu,1479,919
cep,1479,1176
fib,1479,1384
neu,1480,669
end,1480,1034
lym,1480,1183
neu,1481,95
unk,1481,213
fib,1481,274
unk,1481,1534
neu,1482,627
unk,1482,1515
neu,1483,135
nep,1483,423
nep,1483,446
end,1483,1570
unk,1486,231
neu,1486,514
neu,1486,601
mac,1486,710
end,1486,1226
mac,1487,719
unk,1487,866
end,1487,1077
neu,1487,1211
unk,1488,175
neu,1488,377
neu,1488,840
neu,1488,940
unk,1489,40
neu,1489,775
neu,1489,815
unk,1489,1459
neu,1490,579
nep,1490,726
neu,1491,1003
neu,1491,1439
unk,1492,74
neu,1493,31
neu,1493,551
unk,1494,868
neu,1495,12
mac,1495,329
neu,1495,655
neu,1495,767
neu,1495,1050
end,1495,1086
end,1495,1092
unk,1496,1555
unk,1497,236
neu,1497,502
neu,1497,1271
neu,1497,1289
unk,1498,967
end,1499,1326
lym,1500,131
neu,1500,764
unk,1502,1541
unk,1503,40
cep,1503,160
lym,1503,390
neu,1503,529
cep,1503,625
cep,1503,632
neu,1503,951
end,1503,1102
cep,1503,1492
fib,1504,1336
fib,1504,1406
lym,1505,1430
unk,1505,1556
neu,1506,638
fib,1506,838
lym,1507,307
neu,1508,273
lym,1509,405
neu,1509,933
neu,1510,595
fib,1511,324
lym,1511,384
cep,1511,439
end,1511,1107
end,1511,1263
lym,1512,391
neu,1512,559
neu,1512,888
neu,1512,1007
lym,1512,1056
fib,1512,1404
neu,1513,506
lym,1514,59
end,1514,1363
cep,1515,703
neu,1515,775
neu,1515,783
end,1515,1331
end,1515,1583
neu,1516,916
end,1516,1132
neu,1517,571
unk,1517,1490
lym,1518,386
fib,1518,1429
unk,1519,80
fib,1519,117
lym,1519,359
lym,1519,398
unk,1519,548
neu,1519,1312
neu,1520,14
neu,1520,489
neu,1520,753
cep,1520,803
neu,1522,264
fib,1522,1569
neu,1523,291
neu,1523,1047
unk,1525,191
end,1525,462
unk,1525,1084
neu,1525,1522
lym,1526,14
mac,1526,726
neu,1526,952
lym,1526,1111
lym,1527,47
unk,1527,111
unk,1527,175
nep,1527,440
unk,1527,518
fib,1527,1387
fib,1527,1454
neu,1527,1508
end,1528,664
mac,1528,770
neu,1528,887
neu,1528,912
end,1528,1144
fib,1528,1408
neu,1529,639
neu,1529,927
neu,1530,630
neu,1530,1306
mac,1531,585
neu,1531,607
end,1531,1359
fib,1531,1441
neu,1532,278
end,1532,1169
lym,1534,46
neu,1534,890
unk,1534,1491
cep,1535,110
nep,1535,442
neu,1535,971
lym,1535,1115
mac,1536,341
mac,1536,767
neu,1536,1511
cep,1537,802
nep,1539,391
neu,1539,471
neu,1539,939
cep,1539,1484
neu,1540,999
unk,1541,856
unk,1542,212
unk,1542,1006
end,1542,1189
fib,1543,114
mac,1543,751
neu,1543,870
neu,1543,1511
neu,1543,1531
neu,1543,1596
neu,1544,311
neu,1544,651
neu,1544,924
end,1544,1325
neu,1545,293
cep,1545,414
neu,1545,1139
neu,1546,259
end,1546,1365
lym,1547,356
lym,1547,1384
neu,1548,63
neu,1548,1015
cep,1548,1473
lym,1549,88
neu,1549,711
neu,1550,30
nep,1550,439
neu,1550,599
neu,1550,616
neu,1550,628
neu,1550,1024
lym,1550,1110
lym,1551,56
cep,1551,536
lym,1551,752
unk,1551,835
neu,1551,1064
neu,1551,1151
fib,1551,1419
fib,1551,1455
cep,1552,181
cep,1554,175
unk,1555,239
neu,1555,274
neu,1555,728
neu,1556,668
neu,1556,903
neu,1558,593
end,1558,1199
nep,1559,528
neu,1559,1048
neu,1559,1523
neu,1559,1607
nep,1560,543
cep,1560,563
neu,1560,611
mac,1560,783
neu,1560,887
fib,1560,967
neu,1560,1008
neu,1560,1144
neu,1563,311
