V1,V2,V3
None,4,1899
None,6,1751
None,8,1799
None,8,1807
None,8,1992
None,11,1984
None,16,1959
None,21,1904
None,23,1795
None,23,1860
None,23,1959
None,24,1999
None,29,1880
None,30,1839
None,31,1743
None,32,1961
None,34,1924
None,35,1985
None,38,1959
None,40,1814
None,47,1399
None,51,1914
None,52,1893
None,52,1932
None,54,1830
None,54,1983
None,55,207
None,55,1854
None,56,1726
None,57,1847
None,59,1791
None,62,1784
None,63,1847
None,63,1896
None,64,1724
None,64,1830
None,64,1918
None,64,1990
None,66,1866
None,71,1719
None,72,1957
None,73,1949
None,75,1770
None,75,1811
None,77,1841
None,79,327
None,79,1715
None,79,1935
None,80,1807
None,81,1891
None,82,1790
None,87,1807
None,87,1827
None,87,1867
None,89,1998
None,93,1748
None,95,1703
None,95,1808
None,96,1911
None,97,1770
None,103,894
None,103,1852
None,104,1738
None,104,1864
None,104,1950
None,104,1978
None,105,1783
None,110,1735
None,110,1926
None,111,1783
None,111,1895
None,117,1778
None,119,431
None,119,1814
None,123,1808
None,124,1853
None,126,1886
None,127,822
None,127,1692
None,127,1904
None,131,1730
None,133,1867
None,135,536
None,136,1720
None,136,1787
None,138,1697
None,140,1850
None,141,1866
None,142,223
None,143,407
None,143,463
None,143,1786
None,146,1663
None,146,1740
None,150,1886
None,151,1047
None,151,1703
None,151,1912
None,152,1696
None,155,1692
None,158,1655
None,158,1718
None,159,670
None,159,870
None,159,1806
None,159,1927
None,161,1839
None,163,1952
None,163,1976
None,166,1867
None,167,1383
None,167,1756
None,168,1735
None,168,1775
None,175,1824
None,175,1912
None,176,1887
None,182,791
None,182,1594
None,182,1942
None,183,1731
None,183,1960
None,189,1695
None,190,1807
None,190,1879
None,191,1814
None,191,1831
None,191,1979
None,192,1868
None,193,1994
None,194,1848
None,195,1908
None,199,1007
None,202,1558
None,203,1551
None,206,1726
None,207,1768
None,207,1894
None,207,1971
None,208,1278
None,208,1755
None,208,1816
None,211,1262
None,212,1198
None,214,1134
None,214,1784
None,215,1656
None,216,1872
None,217,1662
None,217,1878
None,218,1915
None,222,1242
None,222,1636
None,223,1131
None,223,1291
None,223,1810
None,224,1804
None,228,1102
None,228,1267
None,230,231
None,230,1511
None,231,1346
None,232,1096
None,232,1982
None,233,1998
None,238,1503
None,238,1788
None,239,223
None,239,1121
None,239,1720
None,240,1727
None,246,1412
None,247,967
None,247,1336
None,247,1999
None,254,1362
None,255,1920
None,259,1494
None,262,1066
None,263,511
None,263,1339
None,264,1288
None,264,1563
None,264,1698
None,269,1305
None,270,1402
None,270,1544
None,270,1919
None,271,239
None,271,1518
None,271,1940
None,271,1959
None,275,1999
None,277,1052
None,278,1359
None,279,1551
None,279,1559
None,279,1886
None,280,1503
None,280,1630
None,280,1746
None,280,1798
None,284,1695
None,284,1736
None,286,1727
None,287,1029
None,287,1388
None,287,1855
None,291,1785
None,294,1423
None,295,1160
None,295,1519
None,295,1687
None,296,1763
None,300,910
None,300,1006
None,302,852
None,303,647
None,303,875
None,303,895
None,303,904
None,303,1460
None,304,827
None,304,999
None,304,1975
None,306,1951
None,309,778
None,309,1700
None,310,535
None,310,798
None,310,1440
None,311,935
None,312,758
None,312,924
None,316,1747
None,318,1343
None,319,103
None,319,591
None,319,990
None,319,1603
None,319,1936
None,320,1979
None,322,689
