V1,V2,V3
None,2,270
None,2,342
None,3,144
None,3,916
None,4,894
None,5,264
None,5,597
None,6,709
None,6,850
None,6,1815
None,7,431
None,7,655
None,8,174
None,8,702
None,10,91
None,12,18
None,14,295
None,14,359
None,15,990
None,18,884
None,20,278
None,22,159
None,22,318
None,23,580
None,23,596
None,26,22
None,26,942
None,27,116
None,30,55
None,31,272
None,31,310
None,33,746
None,36,10
None,37,511
None,37,800
None,40,416
None,40,884
None,42,137
None,43,255
None,44,543
None,46,494
None,46,579
None,46,592
None,46,854
None,47,757
None,48,55
None,48,351
None,49,272
None,49,913
None,51,790
None,54,488
None,54,724
None,54,910
None,55,527
None,55,558
None,55,578
None,57,223
None,58,294
None,59,483
None,62,859
None,62,1695
None,63,895
None,63,1880
None,63,1976
None,69,242
None,70,80
None,71,5
None,71,290
None,71,1231
None,72,197
None,72,203
None,72,394
None,72,568
None,72,875
None,74,463
None,75,144
None,78,253
None,78,273
None,78,485
None,79,288
None,79,567
None,79,856
None,79,1582
None,79,1751
None,79,1919
None,80,1631
None,83,578
None,84,591
None,85,252
None,86,289
None,86,1808
None,88,71
None,88,183
None,88,563
None,89,86
None,90,80
None,94,436
None,95,381
None,95,1319
None,96,2
None,96,230
None,96,808
None,96,898
None,100,741
None,102,238
None,103,140
None,103,273
None,103,572
None,103,1791
None,104,475
None,105,296
None,105,530
None,108,166
None,110,422
None,110,455
None,111,555
None,111,571
None,111,659
None,111,1750
None,113,630
None,115,53
None,115,104
None,115,399
None,115,600
None,116,391
None,119,382
None,119,406
None,119,469
None,119,485
None,119,803
None,119,999
None,120,882
None,122,378
None,122,789
None,123,129
None,123,176
None,123,519
None,127,147
None,127,247
None,127,768
None,127,783
None,128,879
None,130,74
None,131,222
None,132,199
None,132,354
None,133,255
None,135,311
None,135,719
None,136,339
None,136,656
None,136,752
None,138,849
None,140,391
None,140,634
None,142,593
None,143,90
None,144,395
None,148,486
None,153,526
None,154,102
None,154,507
None,157,252
None,157,376
None,157,720
None,158,51
None,158,118
None,158,214
None,159,78
None,159,140
None,160,23
None,162,55
None,162,699
None,163,267
None,163,406
None,166,101
None,166,364
None,166,394
None,167,1079
None,168,560
None,169,382
None,170,495
None,171,347
None,171,672
None,172,615
None,174,302
None,174,1959
None,175,319
None,175,637
None,175,1439
None,176,297
None,176,656
None,179,303
None,180,440
None,183,383
None,184,126
None,184,271
None,184,573
None,185,350
None,186,103
None,188,19
None,189,428
None,190,70
None,190,591
None,190,799
None,191,82
None,192,48
None,195,218
None,196,31
None,196,735
None,196,820
None,196,834
None,198,363
None,198,744
None,199,37
None,199,279
None,199,799
None,200,791
None,201,326
None,203,71
None,208,56
None,208,295
None,209,190
None,210,234
None,210,259
None,214,38
None,214,60
None,215,804
None,215,882
None,216,1447
None,218,835
None,219,23
None,219,75
None,220,4
None,222,1807
None,223,94
None,223,863
None,223,1543
None,223,1864
None,224,107
None,224,1559
None,226,232
None,227,57
None,227,243
None,228,910
None,231,870
None,232,325
None,232,798
None,232,820
None,233,701
None,235,545
None,236,834
None,238,510
None,238,921
None,239,351
None,240,535
None,242,21
None,246,774
None,247,431
None,247,970
None,251,42
None,251,630
None,254,737
None,255,822
None,255,1415
None,256,693
None,256,902
None,260,936
None,262,752
None,262,1927
None,263,822
None,263,891
None,263,1447
None,265,306
None,265,968
None,266,770
None,270,682
None,271,695
None,271,790
None,271,1023
None,271,1711
None,271,1928
None,272,838
None,277,730
None,279,513
None,279,1719
None,281,558
None,282,695
None,284,471
None,287,95
None,287,720
None,287,952
None,289,443
None,289,738
None,290,276
None,290,687
None,291,70
None,291,828
None,293,428
None,293,755
None,294,183
None,294,824
None,295,718
None,295,1511
None,295,1567
None,302,551
None,303,783
None,304,281
None,307,562
None,307,946
None,308,517
None,310,886
None,311,844
None,311,1431
None,311,1527
None,311,1608
None,312,1495
None,313,691
None,316,496
None,316,535
None,316,936
None,316,1067
None,319,87
None,319,203
None,319,392
None,319,778
None,319,841
None,319,1712
None,323,805
None,323,967
None,324,198
None,324,257
None,324,755
None,325,343
None,326,528
None,326,663
None,326,840
None,327,104
None,327,192
None,327,519
None,327,871
None,327,1575
None,327,1615
None,329,773
None,330,724
None,332,515
None,332,838
None,335,496
None,335,571
None,335,906
None,342,284
None,343,352
None,343,394
None,343,863
None,343,1959
None,344,623
None,346,264
None,346,359
None,346,449
None,346,479
None,347,552
None,349,600
None,349,809
None,350,719
None,351,868
None,352,951
None,354,837
None,355,1045
None,357,327
None,357,411
None,358,384
None,359,159
None,359,756
None,360,487
None,360,792
None,361,946
None,362,463
None,362,573
None,362,926
None,363,894
None,366,472
None,367,410
None,367,423
None,367,776
None,370,535
None,370,623
None,371,335
None,372,650
None,372,851
None,375,395
None,375,524
None,376,283
None,376,1023
None,377,406
None,377,551
None,378,493
None,380,26
None,381,592
None,382,12
None,382,431
None,382,1035
None,383,46
None,383,314
None,383,703
None,383,1070
None,383,1984
None,384,894
None,386,564
None,386,824
None,387,918
None,388,380
None,388,942
None,389,271
None,389,936
None,390,364
None,390,607
None,391,766
None,391,880
None,391,1935
None,392,230
None,392,448
None,394,5
None,395,167
None,396,975
None,397,49
None,398,494
None,399,798
None,399,995
None,399,1119
None,400,198
None,400,898
None,402,190
None,403,863
None,407,349
None,407,720
None,407,847
None,408,234
None,408,919
None,408,966
None,408,1759
None,409,442
None,409,607
None,411,423
None,414,380
None,414,399
None,414,799
None,415,291
None,415,884
None,415,964
